,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight
94,AIB,VB0,0,0,0,0,0,0,3,0,0,0
95,AIB,ADA,0,0,0,0,0,0,0,2,0,0
96,AIB,AVK,0,0,0,0,0,0,0,0,1,0
97,AIB,ASK,0,0,0,0,0,0,0,0,0,0
98,AIB,AVD,0,0,0,0,0,0,0,0,0,0
99,AIB,DVB,0,0,0,0,0,0,0,0,0,0
100,AIB,RMH,0,0,0,0,0,0,0,0,0,0
101,AIB,URA,0,0,0,0,0,0,0,0,0,0
102,AIB,URY,0,0,0,0,0,0,0,0,0,0
103,AIB,SMB,0,0,0,0,0,0,0,0,0,1
104,ASH,ADA,5,4,3,2,2,3,8,6,5,5
105,ASH,ADF,4,0,2,1,0,6,11,4,1,6
106,ASH,AIA,20,10,7,7,4,18,61,28,25,16
107,ASH,AIB,15,3,6,7,3,6,25,14,14,11
108,ASH,AVA,12,17,4,1,0,7,26,14,35,5
109,ASH,AVB,13,10,4,2,3,10,20,23,22,13
110,ASH,AVD,15,8,6,2,2,9,56,22,21,13
111,ASH,AVE,1,0,0,0,0,2,7,1,4,2
112,ASH,AVJ,1,0,2,2,0,0,0,5,2,1
113,ASH,AWB,1,0,0,0,0,1,1,4,3,2
114,ASH,RIA,4,4,3,2,0,7,17,3,2,5
115,ASH,RIM,3,0,1,0,0,0,7,0,1,3
116,ASH,RMG,1,0,0,0,0,0,6,0,4,0
117,ASH,ASK,0,3,2,1,0,0,1,1,0,1
118,ASH,AVH,0,1,0,0,1,0,3,4,3,2
119,ASH,AWA,0,3,2,1,0,0,1,1,2,2
120,ASH,PVC,0,1,0,0,0,0,3,0,2,0
121,ASH,PVQ,0,1,0,1,0,0,0,0,2,0
