,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight
413,SDQ,IL1,0,0,0,0,0,0,0,0,1,0
414,SDQ,SMB,0,0,0,0,0,0,0,0,1,0
415,SDQ,SMD,0,0,0,0,0,0,0,0,2,0
416,SDQ,ADA,0,0,0,0,0,0,0,0,0,0
417,SDQ,AIZ,0,0,0,0,0,0,0,0,0,0
418,SDQ,AVK,0,0,0,0,0,0,0,0,0,0
419,ADE,ADA,3,0,1,3,1,2,2,2,2,1
420,ADE,ADE,4,0,2,1,0,3,14,9,8,2
421,ADE,AIN,1,0,0,0,0,0,0,0,2,0
422,ADE,ALM,1,0,0,0,0,1,1,1,1,0
423,ADE,AVA,5,4,3,4,2,7,46,12,9,4
424,ADE,AVD,4,1,0,0,1,4,7,0,2,1
425,ADE,BWM,2,0,0,0,0,0,0,2,0,0
426,ADE,CEP,4,0,0,0,0,1,8,9,11,7
427,ADE,GLR,2,0,0,0,0,0,0,0,0,0
428,ADE,IL1,2,0,0,0,0,0,4,8,5,1
429,ADE,IL2,3,0,0,0,0,0,6,3,4,0
430,ADE,OLL,3,0,0,0,0,2,10,6,2,0
431,ADE,PVR,1,0,0,0,0,2,0,0,2,1
432,ADE,RIG,10,4,1,0,2,21,87,34,34,8
433,ADE,RIV,1,0,0,0,0,2,5,6,6,0
434,ADE,RMD,1,0,0,0,0,4,17,8,8,0
435,ADE,RMH,1,0,0,0,0,2,3,2,2,0
436,ADE,SAA,1,1,1,0,0,0,1,3,4,0
437,ADE,SDQ,2,0,0,0,0,1,0,0,1,3
438,ADE,SIB,1,0,0,0,0,1,2,2,0,0
439,ADE,AQR,0,2,0,0,0,0,0,3,0,0
440,ADE,AVK,0,1,0,0,0,0,0,5,4,1
441,ADE,RIF,0,1,0,0,0,2,1,0,1,0
442,ADE,RIS,0,1,0,0,0,0,0,0,0,0
443,ADE,SMD,0,1,0,0,0,0,1,0,2,0
444,ADE,FLP,0,0,1,1,1,2,9,1,1,2
445,ADE,PVC,0,0,0,0,1,0,0,0,0,1
446,ADE,AVE,0,0,0,0,0,2,7,1,1,1
447,ADE,BDU,0,0,0,0,0,2,1,1,0,0
448,ADE,SIA,0,0,0,0,0,1,1,0,1,0
449,ADE,ALN,0,0,0,0,0,0,1,2,2,0
450,ADE,ASI,0,0,0,0,0,0,1,0,0,0
451,ADE,AVH,0,0,0,0,0,0,1,0,0,0
452,ADE,AVJ,0,0,0,0,0,0,1,0,0,0
453,ADE,AVL,0,0,0,0,0,0,1,0,0,0
454,ADE,RIA,0,0,0,0,0,0,3,0,0,0
455,ADE,RIH,0,0,0,0,0,0,4,3,0,0
456,ADE,RME,0,0,0,0,0,0,4,1,0,0
457,ADE,SMB,0,0,0,0,0,0,3,3,3,1
458,ADE,URB,0,0,0,0,0,0,3,1,1,1
459,ADE,URX,0,0,0,0,0,0,2,0,0,0
460,ADE,VB0,0,0,0,0,0,0,3,0,0,0
461,ADE,ASJ,0,0,0,0,0,0,0,1,0,0
462,ADE,AVB,0,0,0,0,0,0,0,1,0,0
463,ADE,DVA,0,0,0,0,0,0,0,1,0,0
464,ADE,DVC,0,0,0,0,0,0,0,2,0,0
465,ADE,PVN,0,0,0,0,0,0,0,1,0,0
466,ADE,PVP,0,0,0,0,0,0,0,1,0,0
467,ADE,RMF,0,0,0,0,0,0,0,7,5,0
468,ADE,RMG,0,0,0,0,0,0,0,1,0,0
469,ADE,PVT,0,0,0,0,0,0,0,0,2,0
470,ADE,UNK,0,0,0,0,0,0,0,0,0,0
471,ADE,unk,0,0,0,0,0,0,0,0,0,0
472,AIN,AFD,9,9,8,5,5,8,22,16,17,10
473,AIN,AIN,2,0,0,1,0,0,2,0,1,0
474,AIN,ASE,1,1,4,1,1,2,5,3,3,0
475,AIN,AUA,6,4,4,4,3,3,5,7,5,8
476,AIN,BAG,12,7,4,1,3,11,14,19,16,5
477,AIN,CEP,10,6,2,2,5,8,2,14,13,8
478,AIN,RIB,7,3,1,0,2,9,13,15,13,5
479,AIN,AWC,0,2,0,2,0,0,2,1,0,0
480,AIN,RID,0,2,1,1,0,1,4,1,5,1
481,AIN,ADF,0,0,0,1,0,0,0,0,0,0
482,AIN,AIA,0,0,0,1,1,0,3,0,1,0
483,AIN,AIB,0,0,0,2,1,1,2,4,2,0
484,AIN,ASG,0,0,0,1,1,0,2,0,0,0
485,AIN,RIM,0,0,0,0,0,1,0,4,2,1
486,AIN,ASI,0,0,0,0,0,0,11,0,0,0
487,AIN,RMD,0,0,0,0,0,0,3,0,0,0
488,AIN,RMF,0,0,0,0,0,0,1,0,2,0
489,AIN,SAA,0,0,0,0,0,0,3,0,0,0
490,AIN,URX,0,0,0,0,0,0,4,1,0,0
491,AIN,RIA,0,0,0,0,0,0,0,1,0,0
492,AIN,AIY,0,0,0,0,0,0,0,0,1,0
493,AIN,AVA,0,0,0,0,0,0,0,0,1,0
494,AIN,AIZ,0,0,0,0,0,0,0,0,0,0
495,AIN,AWA,0,0,0,0,0,0,0,0,0,0
496,AIN,IL2,0,0,0,0,0,0,0,0,0,1
497,ALM,AVB,1,1,0,0,0,0,0,1,0,1
498,ALM,AVD,3,0,0,0,0,2,3,1,5,0
499,ALM,BDU,11,6,4,2,2,13,29,16,15,9
500,ALM,CEP,12,7,4,3,1,10,9,14,17,10
501,ALM,PVC,9,2,0,0,0,10,25,12,17,2
502,ALM,RIF,2,2,0,1,0,1,2,0,2,1
503,ALM,SDQ,4,0,0,0,0,0,2,1,0,2
504,ALM,PVR,0,0,2,0,2,1,0,2,0,1
505,ALM,URB,0,0,1,0,0,1,1,0,0,0
506,ALM,ADE,0,0,0,0,0,3,0,0,2,0
507,ALM,AVJ,0,0,0,0,0,1,0,0,0,0
508,ALM,PVN,0,0,0,0,0,3,0,2,2,0
509,ALM,RIC,0,0,0,0,0,1,5,0,0,0
510,ALM,AIM,0,0,0,0,0,0,1,0,0,1
511,ALM,ALM,0,0,0,0,0,0,1,0,0,0
512,ALM,AVE,0,0,0,0,0,0,3,0,0,1
513,ALM,RMD,0,0,0,0,0,0,2,1,0,0
514,ALM,RMG,0,0,0,0,0,0,3,0,0,1
515,ALM,SIA,0,0,0,0,0,0,1,0,0,0
516,ALM,SMB,0,0,0,0,0,0,2,1,0,0
517,ALM,SMD,0,0,0,0,0,0,1,0,0,0
518,ALM,ALN,0,0,0,0,0,0,0,1,0,0
519,ALM,AVM,0,0,0,0,0,0,0,0,1,0
520,ALM,RID,0,0,0,0,0,0,0,0,1,1
521,ALM,AIY,0,0,0,0,0,0,0,0,0,0
522,ALM,PVP,0,0,0,0,0,0,0,0,0,0
523,ALM,RIS,0,0,0,0,0,0,0,0,0,0
524,ALM,UNK,0,0,0,0,0,0,0,0,0,0
525,ALM,unk,0,0,0,0,0,0,0,0,0,0
526,ALM,ADA,0,0,0,0,0,0,0,0,0,1
527,ALM,AVF,0,0,0,0,0,0,0,0,0,1
528,ALM,IL2,0,0,0,0,0,0,0,0,0,1
529,CEP,AVE,17,18,10,12,7,24,48,26,30,20
530,CEP,IL1,17,8,2,1,0,13,51,15,22,9
531,CEP,OLL,19,22,15,13,8,16,44,31,45,22
532,CEP,OLQ,22,9,6,5,1,16,77,24,23,19
533,CEP,RIB,4,0,0,0,0,4,9,4,4,2
534,CEP,RIC,24,15,14,19,11,25,113,32,32,20
535,CEP,RIP,4,3,3,0,0,2,15,4,4,4
536,CEP,RIS,1,0,0,0,0,0,3,2,2,0
537,CEP,RMD,15,16,10,4,0,13,41,27,34,18
538,CEP,RMH,8,0,0,0,0,10,47,19,15,7
539,CEP,SIA,2,0,0,0,0,2,17,3,5,0
540,CEP,URA,8,1,3,2,0,8,20,11,7,8
541,CEP,URB,3,5,2,2,2,2,25,8,12,4
542,CEP,URY,8,3,2,3,2,4,17,9,6,3
543,CEP,ADA,0,1,0,2,1,0,0,0,0,0
544,CEP,AVA,0,1,0,0,0,0,0,0,0,1
545,CEP,IL2,0,1,0,0,0,0,4,0,0,0
546,CEP,SMB,0,1,0,0,0,0,9,5,3,2
547,CEP,SMD,0,6,3,4,4,0,3,2,5,0
548,CEP,PVR,0,0,2,2,0,1,0,2,3,2
549,CEP,SIB,0,0,0,0,1,0,3,1,0,1
550,CEP,RMF,0,0,0,0,0,2,0,0,0,0
551,CEP,RMG,0,0,0,0,0,3,9,1,1,0
552,CEP,URX,0,0,0,0,0,1,4,8,6,0
553,CEP,ADL,0,0,0,0,0,0,3,0,0,0
554,CEP,AFD,0,0,0,0,0,0,2,0,0,0
555,CEP,AIN,0,0,0,0,0,0,2,0,0,0
556,CEP,ALM,0,0,0,0,0,0,2,1,1,0
557,CEP,ASG,0,0,0,0,0,0,2,0,0,0
558,CEP,BDU,0,0,0,0,0,0,5,0,0,0
559,CEP,CEP,0,0,0,0,0,0,8,0,1,1
560,CEP,RIA,0,0,0,0,0,0,3,0,1,0
561,CEP,RIF,0,0,0,0,0,0,2,0,0,0
562,CEP,RIH,0,0,0,0,0,0,5,0,0,0
563,CEP,RIV,0,0,0,0,0,0,2,0,0,0
564,CEP,ADE,0,0,0,0,0,0,0,1,0,1
565,CEP,AVB,0,0,0,0,0,0,0,3,0,0
566,CEP,AVD,0,0,0,0,0,0,0,1,1,0
567,CEP,AVJ,0,0,0,0,0,0,0,1,1,0
568,CEP,BWM,0,0,0,0,0,0,0,3,4,0
569,CEP,SDQ,0,0,0,0,0,0,0,1,0,0
570,CEP,PLN,0,0,0,0,0,0,0,0,1,0
571,CEP,UK2,0,0,0,0,0,0,0,0,0,0
572,IL1,BWM,64,26,33,30,17,82,0,109,75,57
573,IL1,IL1,2,0,2,0,1,0,15,4,6,2
574,IL1,PVR,1,0,0,0,0,5,0,4,2,0
575,IL1,RIP,10,13,12,15,7,19,68,12,12,12
576,IL1,RMD,45,23,32,28,17,48,243,80,63,39
577,IL1,RME,7,5,13,12,10,3,10,8,10,4
578,IL1,RMG,1,0,0,0,0,0,1,0,0,0
579,IL1,RMH,1,0,0,0,0,1,4,2,3,4
580,IL1,URA,1,1,1,1,0,0,30,1,3,4
581,IL1,GLR,0,0,0,1,0,0,0,1,2,0
582,IL1,RMF,0,0,0,0,0,2,0,1,1,0
583,IL1,ADE,0,0,0,0,0,0,3,0,0,0
584,IL1,AVE,0,0,0,0,0,0,12,3,2,0
585,IL1,AVL,0,0,0,0,0,0,1,0,0,0
586,IL1,IL2,0,0,0,0,0,0,9,0,0,0
587,IL1,OLL,0,0,0,0,0,0,4,0,5,1
588,IL1,OLQ,0,0,0,0,0,0,7,0,0,0
589,IL1,URB,0,0,0,0,0,0,1,0,0,0
590,IL1,URX,0,0,0,0,0,0,1,0,0,0
591,IL1,URY,0,0,0,0,0,0,6,0,0,0
592,IL1,RIS,0,0,0,0,0,0,0,1,0,0
593,IL1,AIB,0,0,0,0,0,0,0,0,0,0
594,IL1,CEP,0,0,0,0,0,0,0,0,0,0
595,IL1,PVP,0,0,0,0,0,0,0,0,0,0
596,IL1,SAA,0,0,0,0,0,0,0,0,0,0
597,IL1,SMB,0,0,0,0,0,0,0,0,0,0
598,IL2,ADE,2,0,0,0,0,0,16,3,3,1
599,IL2,CEP,1,0,0,1,0,1,2,1,2,1
600,IL2,GLR,3,0,1,2,1,2,0,5,3,1
601,IL2,IL1,13,3,2,0,0,19,109,27,29,5
602,IL2,OLL,1,3,1,0,0,1,5,3,2,1
603,IL2,OLQ,21,11,14,10,4,19,94,39,41,10
604,IL2,RIA,2,0,1,0,0,2,6,5,7,2
605,IL2,RIC,1,0,0,0,0,0,4,5,2,1
606,IL2,RIH,19,9,13,9,6,12,56,26,31,13
607,IL2,RIP,39,19,20,17,9,32,150,56,70,29
608,IL2,RMD,5,3,1,0,0,9,6,7,7,5
609,IL2,RME,37,31,28,23,14,19,130,58,64,34
610,IL2,URA,17,6,5,8,0,12,41,18,32,13
611,IL2,URX,1,0,0,0,0,2,5,3,4,1
612,IL2,BWM,0,2,0,0,0,0,0,5,2,0
613,IL2,SIB,0,0,1,0,0,0,0,2,0,0
614,IL2,AVE,0,0,0,0,0,1,4,0,1,0
615,IL2,BAG,0,0,0,0,0,1,1,1,0,2
616,IL2,RIB,0,0,0,0,0,1,1,0,2,0
617,IL2,RMH,0,0,0,0,0,1,1,2,1,2
618,IL2,ADL,0,0,0,0,0,0,1,0,1,0
619,IL2,AUA,0,0,0,0,0,0,2,0,0,0
620,IL2,AVA,0,0,0,0,0,0,1,0,0,0
621,IL2,AVB,0,0,0,0,0,0,2,0,0,0
622,IL2,DVC,0,0,0,0,0,0,1,0,0,0
623,IL2,IL2,0,0,0,0,0,0,3,2,2,1
624,IL2,RMG,0,0,0,0,0,0,1,0,0,0
625,IL2,SIA,0,0,0,0,0,0,1,0,0,0
626,IL2,URB,0,0,0,0,0,0,3,1,1,0
627,IL2,ADA,0,0,0,0,0,0,0,1,0,0
628,IL2,SMB,0,0,0,0,0,0,0,2,1,0
629,IL2,URY,0,0,0,0,0,0,0,2,1,0
630,IL2,AIB,0,0,0,0,0,0,0,0,1,0
631,IL2,ASI,0,0,0,0,0,0,0,0,1,0
632,IL2,AWC,0,0,0,0,0,0,0,0,2,0
633,IL2,RIG,0,0,0,0,0,0,0,0,1,0
634,IL2,Hyp,0,0,0,0,0,0,0,0,0,0
635,IL2,ILS,0,0,0,0,0,0,0,0,0,0
636,IL2,OLS,0,0,0,0,0,0,0,0,0,0
637,OLL,AVE,40,24,26,20,8,40,92,56,64,39
638,OLL,CEP,15,17,3,7,4,4,42,32,34,17
639,OLL,IL1,8,0,0,0,0,3,6,8,10,0
640,OLL,OLQ,1,0,0,0,0,0,1,1,0,0
641,OLL,RIB,23,12,16,8,6,20,45,24,27,22
642,OLL,RIS,1,0,0,0,0,0,2,0,0,0
643,OLL,RMD,24,13,9,2,0,22,69,49,67,30
644,OLL,RME,8,0,0,0,0,3,9,9,3,2
645,OLL,SMD,20,16,15,14,8,18,46,28,28,16
646,OLL,RMG,0,0,1,0,0,0,0,1,0,0
647,OLL,IL2,0,0,0,0,0,1,1,1,0,0
648,OLL,ADE,0,0,0,0,0,0,7,1,0,0
649,OLL,OLL,0,0,0,0,0,0,8,1,0,0
650,OLL,URY,0,0,0,0,0,0,3,1,1,1
651,OLL,URX,0,0,0,0,0,0,0,1,0,0
652,OLL,BWM,0,0,0,0,0,0,0,0,2,0
653,OLL,CSS,0,0,0,0,0,0,0,0,0,0
654,OLL,RID,0,0,0,0,0,0,0,0,0,0
655,OLL,RMF,0,0,0,0,0,0,0,0,0,0
656,OLL,RMH,0,0,0,0,0,0,0,0,0,0
657,PVR,AVB,1,8,4,3,3,7,0,20,19,13
658,PVR,AVJ,2,7,3,1,2,3,0,7,12,5
659,PVR,BDU,1,0,0,0,0,0,0,0,0,0
660,PVR,CEP,1,1,0,1,1,1,0,0,0,1
661,PVR,IL1,1,5,1,1,1,8,0,9,8,7
662,PVR,RIP,1,5,2,1,2,10,0,19,15,14
663,PVR,URY,0,1,0,1,1,0,0,0,0,1
664,PVR,URA,0,0,1,0,0,0,0,0,0,1
665,PVR,AVD,0,0,0,1,0,0,0,0,0,0
666,PVR,ALM,0,0,0,0,0,1,0,0,0,0
667,PVR,ADA,0,0,0,0,0,0,0,0,0,0
668,PVR,OLQ,0,0,0,0,0,0,0,0,0,0
669,PVR,RIC,0,0,0,0,0,0,0,0,0,0
670,PVR,RIS,0,0,0,0,0,0,0,0,0,0
671,PVR,RMD,0,0,0,0,0,0,0,0,0,0
672,PVR,SMB,0,0,0,0,0,0,0,0,0,0
673,PVR,RIV,0,0,0,0,0,0,0,0,0,1
674,PVR,SIB,0,0,0,0,0,0,0,0,0,1
675,RIG,AIB,2,5,1,3,1,1,6,6,8,3
676,RIG,AIZ,8,5,1,1,1,2,16,23,19,10
677,RIG,AVE,10,9,1,2,1,3,12,23,19,7
678,RIG,AVK,6,7,6,4,3,6,43,10,8,7
679,RIG,BAG,5,5,4,3,4,2,5,18,20,4
680,RIG,CEP,1,0,0,1,1,0,0,0,0,0
681,RIG,DVC,1,3,0,2,0,0,2,0,5,1
682,RIG,OLQ,3,3,2,3,2,0,4,6,3,2
683,RIG,PVT,1,0,0,1,1,0,5,0,1,0
684,RIG,RIB,6,4,6,4,2,4,5,4,10,4
685,RIG,RIG,1,0,0,0,0,0,0,0,0,0
686,RIG,RIR,4,3,0,3,2,4,13,2,3,2
687,RIG,RIV,1,0,0,0,0,0,0,0,3,0
688,RIG,RMF,4,0,0,0,0,2,0,9,10,0
689,RIG,RMG,2,2,7,2,2,2,6,4,1,4
690,RIG,RMH,7,1,0,0,0,5,40,11,12,8
691,RIG,URX,1,1,0,1,0,0,9,1,0,0
692,RIG,URY,2,4,2,5,2,1,2,2,4,4
693,RIG,ADE,0,1,0,0,0,0,0,0,0,0
694,RIG,AVH,0,1,0,0,0,0,0,0,0,0
695,RIG,RIA,0,1,1,2,3,0,3,1,6,1
696,RIG,AVD,0,0,1,0,0,0,1,0,0,0
697,RIG,RIM,0,0,1,0,0,0,0,1,0,1
698,RIG,SAA,0,0,1,0,0,0,0,0,2,0
699,RIG,IL1,0,0,0,1,0,0,0,0,0,0
700,RIG,RME,0,0,0,1,0,0,0,0,0,0
701,RIG,PLN,0,0,0,0,0,1,0,2,1,0
702,RIG,SIA,0,0,0,0,0,1,0,0,0,0
703,RIG,ADF,0,0,0,0,0,0,1,0,1,0
704,RIG,ADL,0,0,0,0,0,0,2,0,0,0
705,RIG,AFD,0,0,0,0,0,0,1,0,0,0
706,RIG,ALN,0,0,0,0,0,0,9,3,1,0
707,RIG,DVA,0,0,0,0,0,0,5,0,0,0
708,RIG,PVP,0,0,0,0,0,0,2,1,0,0
709,RIG,RIH,0,0,0,0,0,0,2,0,0,0
710,RIG,ASH,0,0,0,0,0,0,0,1,0,0
711,RIG,AVB,0,0,0,0,0,0,0,1,0,0
712,RIG,PVQ,0,0,0,0,0,0,0,1,0,0
713,RIG,AQR,0,0,0,0,0,0,0,0,0,0
714,RIG,AVA,0,0,0,0,0,0,0,0,0,0
715,RIG,RMD,0,0,0,0,0,0,0,0,0,0
716,RIG,SMB,0,0,0,0,0,0,0,0,0,0
717,RIG,SMD,0,0,0,0,0,0,0,0,0,0
718,RIV,BWM,23,6,1,0,0,17,0,36,43,5
719,RIV,CEP,1,0,0,0,0,0,0,0,0,0
720,RIV,GLR,4,4,5,1,5,0,0,1,0,3
721,RIV,RIA,7,14,6,5,1,7,16,12,12,8
722,RIV,RIH,1,0,1,1,1,0,0,0,0,0
723,RIV,RMD,10,10,5,2,3,9,17,9,17,6
724,RIV,SAA,9,7,4,3,3,7,32,6,6,7
725,RIV,SDQ,1,0,0,0,0,1,0,2,0,0
726,RIV,SIA,7,3,0,0,0,8,10,12,16,3
727,RIV,SMD,6,5,3,3,1,9,20,4,6,9
728,RIV,RIR,0,2,0,0,0,0,0,0,0,0
729,RIV,AVA,0,0,0,1,0,0,0,0,0,0
730,RIV,RME,0,0,0,0,0,1,0,0,0,0
731,RIV,RMF,0,0,0,0,0,1,0,0,0,0
732,RIV,RIV,0,0,0,0,0,0,9,0,0,0
733,RIV,RMH,0,0,0,0,0,0,2,0,0,0
734,RIV,SMB,0,0,0,0,0,0,1,1,0,0
735,RIV,RIC,0,0,0,0,0,0,0,1,0,0
736,RIV,exc,0,0,0,0,0,0,0,1,2,0
737,RIV,ADE,0,0,0,0,0,0,0,0,1,0
738,RIV,RMG,0,0,0,0,0,0,0,0,1,0
739,RIV,OLQ,0,0,0,0,0,0,0,0,0,0
740,RIV,UK2,0,0,0,0,0,0,0,0,0,0
741,RIV,URY,0,0,0,0,0,0,0,0,0,0
742,RIV,RIM,0,0,0,0,0,0,0,0,0,1
743,RIV,RIS,0,0,0,0,0,0,0,0,0,1
744,RMD,BWM,125,49,54,49,25,152,0,210,208,107
745,RMD,GLR,1,0,2,0,0,0,0,2,0,0
746,RMD,IL1,5,5,4,5,4,2,19,9,5,4
747,RMD,IL2,2,0,2,2,2,2,1,1,0,2
748,RMD,OLL,1,4,2,1,1,0,5,1,0,0
749,RMD,RIA,25,19,12,9,7,15,79,36,44,26
750,RMD,RMD,65,43,41,35,25,48,189,77,77,66
751,RMD,RME,3,0,0,0,0,3,2,9,14,2
752,RMD,RMG,1,0,2,2,0,1,1,1,0,1
753,RMD,RMH,2,0,0,0,0,3,4,4,4,2
754,RMD,SMB,2,0,0,0,0,1,3,6,5,1
755,RMD,URA,1,0,0,0,0,0,8,0,1,0
756,RMD,URY,1,0,0,0,0,0,1,0,2,0
757,RMD,AVE,0,2,1,0,0,0,3,0,1,0
758,RMD,CEP,0,0,1,0,0,0,6,1,0,1
759,RMD,RIM,0,0,0,0,0,1,4,2,1,0
760,RMD,SMD,0,0,0,0,0,1,2,0,3,1
761,RMD,ADE,0,0,0,0,0,0,3,0,1,0
762,RMD,AVA,0,0,0,0,0,0,1,0,0,0
763,RMD,AVK,0,0,0,0,0,0,2,0,0,0
764,RMD,OLQ,0,0,0,0,0,0,5,0,0,0
765,RMD,RIB,0,0,0,0,0,0,1,0,0,0
766,RMD,RIS,0,0,0,0,0,0,2,0,0,0
767,RMD,RIV,0,0,0,0,0,0,1,0,1,0
768,RMD,RMF,0,0,0,0,0,0,1,0,5,0
769,RMD,SIA,0,0,0,0,0,0,6,2,0,2
770,RMD,SIB,0,0,0,0,0,0,5,0,2,1
771,RMD,URX,0,0,0,0,0,0,1,0,0,0
772,RMD,UK2,0,0,0,0,0,0,0,0,0,0
773,RMD,URB,0,0,0,0,0,0,0,0,0,0
774,RMH,BWM,22,0,0,0,0,24,0,26,25,24
775,RMH,CEP,1,1,0,0,0,0,1,3,0,0
776,RMH,RMD,10,1,0,0,0,5,8,13,12,6
777,RMH,RMG,2,0,0,0,0,1,8,2,1,1
778,RMH,AVK,0,1,0,0,0,2,0,2,3,0
779,RMH,RIG,0,1,0,0,0,2,0,1,3,0
780,RMH,RMF,0,0,0,0,0,3,0,4,10,0
781,RMH,URX,0,0,0,0,0,1,1,0,0,0
782,RMH,AIB,0,0,0,0,0,0,3,0,0,0
783,RMH,AVA,0,0,0,0,0,0,1,0,0,0
784,RMH,IL1,0,0,0,0,0,0,2,1,0,0
785,RMH,RIC,0,0,0,0,0,0,2,0,0,0
786,RMH,RID,0,0,0,0,0,0,1,0,0,0
787,RMH,RME,0,0,0,0,0,0,4,0,0,0
788,RMH,RMH,0,0,0,0,0,0,3,0,0,2
789,RMH,SAA,0,0,0,0,0,0,1,0,0,0
790,RMH,SMD,0,0,0,0,0,0,3,0,0,0
791,RMH,PLN,0,0,0,0,0,0,0,0,0,0
792,SAA,AVA,29,17,10,12,9,34,139,77,61,35
793,SAA,OLL,1,0,1,0,1,2,8,3,4,0
794,SAA,RIM,30,29,20,18,14,36,121,76,71,42
795,SAA,RMF,5,0,0,0,0,3,18,4,7,0
796,SAA,RMG,1,0,0,0,0,0,1,0,1,0
797,SAA,SMD,18,11,8,6,1,10,41,20,21,7
798,SAA,AVB,0,0,1,0,0,0,1,0,0,0
799,SAA,RIG,0,0,1,0,0,0,1,0,0,0
800,SAA,AIB,0,0,0,0,0,0,5,1,1,0
801,SAA,ALN,0,0,0,0,0,0,1,0,0,0
802,SAA,ASI,0,0,0,0,0,0,1,0,0,0
803,SAA,IL1,0,0,0,0,0,0,12,0,0,0
804,SAA,PLN,0,0,0,0,0,0,1,0,0,0
805,SAA,RIA,0,0,0,0,0,0,1,0,0,1
806,SAA,RIP,0,0,0,0,0,0,12,0,0,0
807,SAA,RMD,0,0,0,0,0,0,1,0,0,0
808,SAA,RME,0,0,0,0,0,0,1,0,0,0
809,SAA,SAA,0,0,0,0,0,0,1,0,0,2
810,SAA,SIB,0,0,0,0,0,0,1,0,0,0
811,SAA,SMB,0,0,0,0,0,0,6,0,0,0
812,SAA,AVE,0,0,0,0,0,0,0,0,1,0
813,SAA,ADA,0,0,0,0,0,0,0,0,0,0
814,SAA,AVK,0,0,0,0,0,0,0,0,0,0
815,SAA,DVA,0,0,0,0,0,0,0,0,0,0
816,SAA,RIC,0,0,0,0,0,0,0,0,0,0
817,SAA,RMH,0,0,0,0,0,0,0,0,0,0
818,SIB,RIC,0,0,0,0,0,1,0,0,0,0
819,SIB,SMB,0,0,0,0,0,1,1,0,0,0
820,SIB,AVD,0,0,0,0,0,0,1,0,0,0
821,SIB,PVP,0,0,0,0,0,0,1,0,0,0
822,SIB,RID,0,0,0,0,0,0,1,0,0,0
823,ADF,AIY,1,0,1,1,1,1,2,0,0,1
824,ADF,AIZ,11,12,10,9,10,18,84,19,31,17
825,ADF,AUA,7,4,3,3,4,8,21,13,3,8
826,ADF,OLQ,1,0,0,0,0,0,1,1,2,1
827,ADF,RIA,19,15,8,7,4,29,122,35,29,20
828,ADF,RIG,5,1,0,0,0,2,29,9,7,4
829,ADF,SIB,1,0,0,2,0,1,0,1,1,1
830,ADF,SMB,10,5,4,2,0,13,31,13,9,11
831,ADF,URX,1,1,1,0,1,1,11,4,2,0
832,ADF,ADA,0,2,0,0,0,0,10,1,0,0
833,ADF,ADF,0,2,0,0,0,0,1,0,0,0
834,ADF,AFD,0,2,0,0,0,0,2,0,0,1
835,ADF,AIA,0,1,1,0,1,0,2,0,2,0
836,ADF,ASH,0,1,1,0,0,0,10,0,1,1
837,ADF,RIM,0,1,0,0,0,0,0,0,0,0
838,ADF,RIR,0,2,0,3,0,1,11,6,7,4
839,ADF,ASE,0,0,1,0,2,1,0,2,0,1
840,ADF,AWA,0,0,1,0,0,0,1,0,0,0
841,ADF,AWB,0,0,1,0,0,0,6,2,2,0
842,ADF,AVH,0,0,0,3,1,3,1,2,1,1
843,ADF,DVA,0,0,0,1,0,0,0,0,0,1
844,ADF,ADL,0,0,0,0,0,0,1,0,0,0
845,ADF,AIB,0,0,0,0,0,0,3,1,2,1
846,ADF,AWC,0,0,0,0,0,0,3,0,0,0
847,ADF,BAG,0,0,0,0,0,0,6,0,1,0
848,ADF,PVP,0,0,0,0,0,0,1,0,0,0
849,ADF,RIB,0,0,0,0,0,0,4,0,0,0
850,ADF,RIH,0,0,0,0,0,0,2,0,1,0
851,ADF,RIV,0,0,0,0,0,0,1,0,0,0
852,ADF,SMD,0,0,0,0,0,0,1,0,0,0
853,ADF,URY,0,0,0,0,0,0,2,1,0,0
854,ADF,ASG,0,0,0,0,0,0,0,1,0,0
855,ADF,PVQ,0,0,0,0,0,0,0,1,0,0
856,ADF,RIC,0,0,0,0,0,0,0,1,0,0
857,ADF,AIN,0,0,0,0,0,0,0,0,0,0
858,ADF,AQR,0,0,0,0,0,0,0,0,0,0
859,ADF,AVJ,0,0,0,0,0,0,0,0,0,0
860,ADF,PVN,0,0,0,0,0,0,0,0,0,0
861,ADF,RIP,0,0,0,0,0,0,0,0,0,0
862,ADF,RMG,0,0,0,0,0,0,0,0,0,0
863,ADF,UK2,0,0,0,0,0,0,0,0,0,0
864,AIY,AFD,1,2,0,0,0,2,3,2,1,1
865,AIY,AIY,1,0,0,0,0,0,12,1,0,0
866,AIY,AIZ,21,14,12,12,8,23,219,26,23,23
867,AIY,AWA,3,0,0,1,0,0,25,1,3,2
