,pre,post,pristi_s14_new_out_posterior_cut.csv' with 79 nodes and 1619 edges_weight,pristi_15_roi_count.csv' with 89 nodes and 1939 edges_weight,witvliet_dataset8_vol.csv' with 84 nodes and 2098 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
415,ALM,RIM,0.0,766.0,0.0,1,766.0,0,1,no,no,yes
416,ALM,SAA,0.0,2343.0,843360.0,2,422851.5,1,1,no,no,yes
417,ALM,VB1,0.0,7.0,0.0,1,7.0,0,1,no,no,yes
418,ALM,AQR,0.0,0.0,333120.0,1,333120.0,1,0,no,yes,no
419,ALM,AVH,0.0,0.0,923760.0,1,923760.0,1,0,no,yes,no
420,ALM,RMF,0.0,0.0,96960.0,1,96960.0,1,0,no,yes,no
421,ALN,AQR,654.0,0.0,0.0,1,654.0,0,1,no,no,yes
422,ALN,ASJ,760.0,99.0,22320.0,3,7726.333333333333,1,2,no,no,yes
423,ALN,AVA,4202.0,4612.0,320160.0,3,109658.0,1,2,no,no,yes
424,ALN,AVE,3467.0,0.0,0.0,1,3467.0,0,1,no,no,yes
425,ALN,AVF,1401.0,632.0,108720.0,3,36917.666666666664,1,2,no,no,yes
426,ALN,AVJ,12556.0,8412.0,4800.0,3,8589.333333333334,1,2,no,no,yes
427,ALN,BDU,5009.0,0.0,0.0,1,5009.0,0,1,no,no,yes
428,ALN,CEP,1460.0,0.0,151200.0,2,76330.0,1,1,no,no,yes
429,ALN,DVA,225.0,0.0,0.0,1,225.0,0,1,no,no,yes
430,ALN,HSN,2210.0,0.0,0.0,1,2210.0,0,1,no,no,yes
431,ALN,IL1,2267.0,693.0,0.0,2,1480.0,0,2,yes,no,yes
432,ALN,OLL,5727.0,1991.0,199680.0,3,69132.66666666667,1,2,no,no,yes
433,ALN,PVD,4705.0,2009.0,0.0,2,3357.0,0,2,yes,no,yes
434,ALN,PVN,1107.0,550.0,0.0,2,828.5,0,2,yes,no,yes
435,ALN,PVR,3349.0,0.0,0.0,1,3349.0,0,1,no,no,yes
436,ALN,RIG,118.0,720.0,150960.0,3,50599.333333333336,1,2,no,no,yes
437,ALN,RIM,593.0,4361.0,668160.0,3,224371.33333333334,1,2,no,no,yes
438,ALN,RIV,8654.0,7601.0,1101120.0,3,372458.3333333333,1,2,no,no,yes
439,ALN,RMD,5271.0,4596.0,865920.0,3,291929.0,1,2,no,no,yes
440,ALN,RMF,5746.0,5686.0,954480.0,3,321970.6666666667,1,2,no,no,yes
441,ALN,RMG,10851.0,6257.0,3947520.0,3,1321542.6666666667,1,2,no,no,yes
442,ALN,RMH,6053.0,3978.0,2935680.0,3,981903.6666666666,1,2,no,no,yes
443,ALN,SAA,1989.0,14334.0,5816400.0,3,1944241.0,1,2,no,no,yes
