,pre,post,cel_jsh_nr_adj.csv' with 84 nodes and 1784 edges_weight,cel_n2u_nr_adj.csv' with 89 nodes and 2150 edges_weight,witvliet_dataset1_vol.csv' with 82 nodes and 1765 edges_weight,witvliet_dataset2_vol.csv' with 80 nodes and 1702 edges_weight,witvliet_dataset3_vol.csv' with 83 nodes and 1737 edges_weight,witvliet_dataset4_vol.csv' with 87 nodes and 2025 edges_weight,witvliet_dataset5_vol.csv' with 88 nodes and 2163 edges_weight,witvliet_dataset6_vol.csv' with 85 nodes and 1992 edges_weight,witvliet_dataset8_vol.csv' with 88 nodes and 2266 edges_weight,conserved,average_size
49,ADA,RMG,7894.0,11453.0,377760.0,407808.0,206280.0,522360.0,692520.0,1797396.0,2161440.0,9,687212.3333333334
50,ADA,SAA,5070.0,6588.0,1514640.0,1115648.0,1099440.0,812520.0,908040.0,1146560.0,2396880.0,9,1000598.4444444445
51,ADA,SIA,3456.0,7309.0,178680.0,754688.0,210960.0,552480.0,1281960.0,390634.0,976560.0,9,484080.77777777775
52,ADA,SIBD,9352.0,11378.0,482280.0,937472.0,509640.0,507720.0,1284360.0,889404.0,470880.0,9,566942.8888888889
53,ADA,SIBV,10109.0,14590.0,538440.0,1172480.0,711960.0,557640.0,1290600.0,641709.0,2123520.0,9,784560.8888888889
54,ADA,SMB,6049.0,8072.0,428880.0,955392.0,741120.0,579240.0,1730760.0,1240163.0,2317920.0,9,889732.8888888889
55,ADA,SMD,2418.0,17633.0,435840.0,952064.0,714360.0,410520.0,387120.0,588316.0,1881120.0,9,598821.2222222222
56,ADA,URA,3145.0,1388.0,30360.0,189184.0,135840.0,131160.0,141840.0,250059.0,496800.0,9,153308.44444444444
57,ADA,URB,7221.0,6441.0,219840.0,637696.0,429120.0,698400.0,1006920.0,1026938.0,3806880.0,9,871050.6666666666
58,ADA,URX,32614.0,37960.0,319680.0,678656.0,642480.0,746640.0,1664040.0,3898244.0,8024160.0,9,1782719.3333333333
59,ADA,URY,4109.0,3755.0,396600.0,412928.0,237360.0,303960.0,501480.0,632247.0,794640.0,9,365231.0
60,ADA,AIA,551.0,6069.0,0.0,125440.0,151920.0,45960.0,337320.0,770457.0,658320.0,8,262004.625
61,ADA,DVC,465.0,0.0,0.0,39680.0,12480.0,2760.0,0.0,14192.0,960.0,6,11756.166666666666
62,ADA,RIG,0.0,0.0,0.0,14336.0,0.0,8160.0,0.0,0.0,0.0,2,11248.0
63,ADA,SAB,0.0,0.0,0.0,88576.0,0.0,0.0,62160.0,0.0,0.0,2,75368.0
64,ADA,Fragment3,0.0,0.0,0.0,0.0,19440.0,0.0,0.0,0.0,0.0,1,19440.0
65,ADA,RIP,14261.0,10241.0,0.0,0.0,46200.0,237240.0,680760.0,807966.0,2129040.0,7,560815.4285714285
66,ADA,AQR,1077.0,10994.0,0.0,0.0,0.0,205080.0,201480.0,978277.0,1593120.0,6,498338.0
67,ADA,AVF,0.0,6399.0,0.0,0.0,0.0,156360.0,892320.0,267631.0,1439760.0,5,552494.0
68,ADA,RMH,0.0,19.0,0.0,0.0,0.0,153840.0,387720.0,63191.0,129600.0,5,146874.0
69,ADA,SDQ,4470.0,1067.0,0.0,0.0,0.0,150720.0,362640.0,1295584.0,1711920.0,6,587733.5
70,ADA,VA,0.0,0.0,0.0,0.0,0.0,74160.0,64920.0,0.0,0.0,2,69540.0
71,ADA,VB,0.0,0.0,0.0,0.0,0.0,9360.0,20640.0,0.0,0.0,2,15000.0
72,ADA,ALN,0.0,314.0,0.0,0.0,0.0,0.0,58440.0,6082.0,6000.0,4,17709.0
73,ADA,AVM,120.0,228.0,0.0,0.0,0.0,0.0,441720.0,30412.0,0.0,4,118120.0
74,ADA,RMF,964.0,2413.0,0.0,0.0,0.0,0.0,68760.0,157469.0,584160.0,5,162753.2
75,ADA,HSN,0.0,1874.0,0.0,0.0,0.0,0.0,0.0,0.0,796080.0,2,398977.0
76,ADA,PLN,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,2,1084.0
77,ADA,PVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7920.0,1,7920.0
78,ADA,RME,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387840.0,2,193968.5
79,ADA,unknownFLPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17280.0,1,17280.0
80,ADA,AIY,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,398.0
81,ADA,ASG,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,77.0
82,ADA,ASI,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,228.0
83,ADA,PVN,0.0,6072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6072.0
84,ADA,RIS,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,80.0
85,ADA,VB01,0.0,5273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5273.0
86,ADE,ADE,8129.0,73991.0,664920.0,1245440.0,1239720.0,0.0,3081960.0,4401408.0,6899040.0,8,2201826.0
87,ADE,AIB,0.0,0.0,6000.0,10752.0,0.0,144960.0,0.0,0.0,18480.0,4,45048.0
88,ADE,AVA,13884.0,90298.0,643080.0,1499904.0,1144440.0,1592280.0,3072000.0,3121027.0,5905920.0,9,1898092.5555555555
89,ADE,AVD,5341.0,4334.0,117120.0,0.0,57480.0,203160.0,658080.0,228770.0,796800.0,8,258885.625
90,ADE,AVJ,476.0,3747.0,3120.0,0.0,0.0,146520.0,306000.0,122326.0,371040.0,7,136175.57142857142
91,ADE,AVK,356.0,9968.0,309000.0,657152.0,521520.0,1383960.0,632760.0,453826.0,794160.0,9,529189.1111111111
92,ADE,AVL,852.0,3384.0,9360.0,2560.0,89040.0,0.0,2400.0,0.0,38640.0,7,20890.85714285714
93,ADE,DVA,1019.0,11826.0,164520.0,0.0,22440.0,89160.0,341760.0,510258.0,1307760.0,8,306092.875
94,ADE,DVC,0.0,426.0,382800.0,455168.0,187800.0,589320.0,96600.0,0.0,15120.0,7,246747.7142857143
95,ADE,FLP,5944.0,41416.0,673440.0,1423872.0,1000080.0,665640.0,1371720.0,1246923.0,3415200.0,9,1093803.888888889
96,ADE,Fragment2,0.0,0.0,9480.0,0.0,12240.0,0.0,0.0,0.0,0.0,2,10860.0
97,ADE,PVC,53.0,0.0,169080.0,192256.0,146280.0,0.0,816960.0,673473.0,304800.0,7,328986.0
98,ADE,PVP,0.0,0.0,33480.0,0.0,840.0,8160.0,94080.0,0.0,4080.0,5,28128.0
99,ADE,PVT,0.0,0.0,156240.0,315904.0,22680.0,115200.0,120.0,444026.0,628080.0,7,240321.42857142858
100,ADE,RIG,11583.0,61398.0,482640.0,962560.0,483120.0,1642800.0,2427840.0,3319387.0,7312320.0,9,1855960.888888889
101,ADE,RIH,4661.0,48848.0,380040.0,615936.0,418560.0,73680.0,454680.0,3560324.0,8572320.0,9,1569894.3333333333
102,ADE,RIS,51.0,0.0,175920.0,170496.0,840.0,204960.0,427440.0,0.0,55440.0,7,147878.14285714287
103,ADE,SAA,6446.0,18065.0,1122720.0,1935616.0,1337760.0,1793520.0,1638720.0,2159644.0,7221360.0,9,1914872.3333333333
104,ADE,SAB,0.0,0.0,45600.0,68864.0,162600.0,0.0,0.0,0.0,0.0,3,92354.66666666667
105,ADE,SMB,5964.0,6686.0,22440.0,106752.0,75960.0,215160.0,717120.0,943133.0,2462880.0,9,506232.77777777775
106,ADE,SMD,3726.0,22181.0,210840.0,503296.0,603840.0,1140240.0,2331480.0,2061648.0,6123600.0,9,1444539.0
107,ADE,excgl,0.0,0.0,218400.0,991744.0,627600.0,575160.0,2816520.0,0.0,0.0,5,1045884.8
108,ADE,BDU,4899.0,17573.0,0.0,104704.0,51360.0,86400.0,214320.0,319334.0,982320.0,8,222613.75
109,ADE,PVQ,0.0,0.0,0.0,90368.0,0.0,101400.0,125760.0,675.0,0.0,4,79550.75
110,ADE,SIA,3181.0,819.0,0.0,3328.0,0.0,3720.0,29640.0,21964.0,1025520.0,7,155453.14285714287
111,ADE,excduct,0.0,0.0,0.0,155136.0,0.0,0.0,0.0,0.0,0.0,1,155136.0
112,ADE,PVR,1834.0,5134.0,0.0,0.0,46560.0,26520.0,158040.0,102727.0,1275600.0,7,230916.42857142858
113,ADE,RIV,11456.0,25106.0,0.0,0.0,7320.0,663000.0,1048560.0,732272.0,3180480.0,7,809742.0
114,ADE,SIBV,0.0,4440.0,0.0,0.0,94440.0,39120.0,492120.0,343662.0,1982400.0,6,492697.0
115,ADE,ADL,0.0,394.0,0.0,0.0,0.0,600.0,135600.0,0.0,0.0,3,45531.333333333336
116,ADE,AIN,9060.0,15130.0,0.0,0.0,0.0,153480.0,177360.0,411923.0,2519760.0,6,547785.5
117,ADE,AIZ,0.0,0.0,0.0,0.0,0.0,5160.0,0.0,0.0,135360.0,2,70260.0
118,ADE,ALA,37.0,5722.0,0.0,0.0,0.0,26760.0,7560.0,50012.0,13440.0,6,17255.166666666668
119,ADE,ALM,14995.0,10933.0,0.0,0.0,0.0,116400.0,237120.0,795463.0,2333760.0,6,584778.5
120,ADE,ALN,6210.0,25387.0,0.0,0.0,0.0,354120.0,980400.0,1466572.0,2970240.0,6,967154.8333333334
121,ADE,AQR,1788.0,3650.0,0.0,0.0,0.0,332160.0,341400.0,847502.0,1055760.0,6,430376.6666666667
122,ADE,ASI,0.0,269.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,2,674.5
123,ADE,AVE,3632.0,7116.0,0.0,0.0,0.0,241560.0,214560.0,15206.0,503520.0,6,164265.66666666666
124,ADE,AVF,80.0,2510.0,0.0,0.0,0.0,534600.0,760800.0,203765.0,1164240.0,6,444332.5
125,ADE,AVH,3920.0,2667.0,0.0,0.0,0.0,208800.0,270240.0,418682.0,408720.0,6,218838.16666666666
126,ADE,IL1,12480.0,18770.0,0.0,0.0,0.0,160320.0,1127160.0,2155928.0,3818160.0,6,1215469.6666666667
127,ADE,IL2,15515.0,17180.0,0.0,0.0,0.0,4920.0,95880.0,1611539.0,1933680.0,6,613119.0
128,ADE,OLL,14304.0,17360.0,0.0,0.0,0.0,95520.0,156720.0,1363507.0,1267440.0,6,485808.5
129,ADE,RIA,1200.0,2316.0,0.0,0.0,0.0,7080.0,437760.0,470722.0,765120.0,6,280699.6666666667
130,ADE,RIC,0.0,0.0,0.0,0.0,0.0,57720.0,0.0,0.0,0.0,1,57720.0
131,ADE,RID,0.0,0.0,0.0,0.0,0.0,10080.0,0.0,0.0,0.0,1,10080.0
132,ADE,RIF,8331.0,5733.0,0.0,0.0,0.0,5640.0,186240.0,272025.0,529920.0,6,167981.5
133,ADE,RIM,588.0,0.0,0.0,0.0,0.0,591600.0,0.0,129423.0,85200.0,4,201702.75
134,ADE,RIR,0.0,2823.0,0.0,0.0,0.0,23400.0,0.0,0.0,0.0,2,13111.5
135,ADE,RMD,6640.0,18309.0,0.0,0.0,0.0,109320.0,102840.0,1352692.0,1831920.0,6,570286.8333333334
136,ADE,RMG,4056.0,1673.0,0.0,0.0,0.0,27480.0,11640.0,235530.0,154320.0,6,72449.83333333333
137,ADE,RMH,8929.0,4985.0,0.0,0.0,0.0,681240.0,320520.0,1772052.0,2751600.0,6,923221.0
138,ADE,SDQ,12141.0,7240.0,0.0,0.0,0.0,179520.0,478440.0,432875.0,1568160.0,6,446396.0
139,ADE,SIBD,6478.0,5161.0,0.0,0.0,0.0,234120.0,514920.0,469032.0,2055840.0,6,547591.8333333334
140,ADE,URB,16180.0,15331.0,0.0,0.0,0.0,282720.0,2268120.0,2308330.0,3642720.0,6,1422233.5
141,ADE,VA,0.0,0.0,0.0,0.0,0.0,134640.0,138480.0,0.0,0.0,2,136560.0
142,ADE,VB,0.0,0.0,0.0,0.0,0.0,160200.0,1447320.0,0.0,0.0,2,803760.0
143,ADE,ASJ,4948.0,1689.0,0.0,0.0,0.0,0.0,76440.0,3717.0,235200.0,5,64398.8
144,ADE,AVM,0.0,0.0,0.0,0.0,0.0,0.0,1147560.0,806276.0,252000.0,3,735278.6666666666
145,ADE,BWM,0.0,0.0,0.0,0.0,0.0,0.0,581640.0,1151629.0,152880.0,3,628716.3333333334
146,ADE,CEPD,3490.0,4110.0,0.0,0.0,0.0,0.0,237480.0,137871.0,681840.0,5,212958.2
147,ADE,CEPV,1325.0,1734.0,0.0,0.0,0.0,0.0,157320.0,496066.0,475200.0,5,226329.0
148,ADE,RMDD,1362.0,1329.0,0.0,0.0,0.0,0.0,36000.0,298045.0,916320.0,5,250611.2
149,ADE,RME,9536.0,19010.0,0.0,0.0,0.0,0.0,135360.0,1890999.0,966960.0,5,604373.0
150,ADE,RMF,409.0,4464.0,0.0,0.0,0.0,0.0,1795560.0,1484143.0,3747360.0,5,1406387.2
151,ADE,URX,167.0,3846.0,0.0,0.0,0.0,0.0,103560.0,0.0,33360.0,4,35233.25
152,ADE,ASK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4730.0,0.0,1,4730.0
153,ADE,RMDV,6680.0,0.0,0.0,0.0,0.0,0.0,0.0,2027.0,0.0,2,4353.5
154,ADE,AIY,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66240.0,2,33131.0
155,ADE,HSN,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577440.0,2,288760.0
156,ADE,PLN,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318480.0,2,159298.0
157,ADE,PVN,0.0,4267.0,0.0,0.0,0.0,0.0,0.0,0.0,288240.0,2,146253.5
158,ADE,unknownFLPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1895280.0,1,1895280.0
159,ADE,AIM,81.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,105.5
160,ADE,ASE,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,371.0
161,ADE,VB01,0.0,11880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11880.0
162,ADE,VB02,0.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1188.0
163,ADF,ADF,2205.0,97.0,136680.0,99840.0,114960.0,286800.0,171120.0,332513.0,553200.0,9,188601.66666666666
164,ADF,AFD,7664.0,10039.0,432840.0,1579520.0,737760.0,629760.0,2900160.0,1693992.0,2209200.0,9,1133437.2222222222
165,ADF,AIA,3023.0,7171.0,407160.0,406528.0,255840.0,298080.0,365040.0,660970.0,2034720.0,9,493170.22222222225
166,ADF,AIB,1622.0,5378.0,179160.0,289792.0,255360.0,455640.0,142320.0,648805.0,657600.0,9,292853.0
167,ADF,AIN,0.0,0.0,480.0,99584.0,77280.0,0.0,51480.0,357856.0,15360.0,6,100340.0
168,ADF,AIY,7486.0,14949.0,1695960.0,2431232.0,1221000.0,812160.0,1583640.0,1250641.0,1492800.0,9,1167763.111111111
169,ADF,AIZ,54929.0,75451.0,3279000.0,3564800.0,2483400.0,4117800.0,5679720.0,6215024.0,13841760.0,9,4367987.111111111
170,ADF,ASE,3142.0,14881.0,867840.0,841472.0,230280.0,1137240.0,983280.0,1211442.0,1247040.0,9,726290.7777777778
171,ADF,ASG,0.0,1478.0,15720.0,0.0,3480.0,0.0,0.0,0.0,221280.0,4,60489.5
172,ADF,ASH,22032.0,22102.0,247920.0,1120512.0,941040.0,609600.0,2349840.0,2150184.0,1691520.0,9,1017194.4444444445
173,ADF,AUA,54454.0,57635.0,1390440.0,2075136.0,2097360.0,1793640.0,4861920.0,5316156.0,9624240.0,9,3030109.0
174,ADF,AVB,103.0,13022.0,81360.0,355584.0,242160.0,147000.0,226560.0,562298.0,349200.0,9,219698.55555555556
175,ADF,AVD,0.0,0.0,76440.0,0.0,0.0,78480.0,18720.0,0.0,0.0,3,57880.0
176,ADF,AVE,0.0,246.0,11520.0,0.0,0.0,4320.0,0.0,55080.0,0.0,4,17791.5
177,ADF,AVH,21783.0,33135.0,766200.0,1752576.0,797640.0,873360.0,2916240.0,2760805.0,3204960.0,9,1458522.111111111
178,ADF,AWA,19477.0,73149.0,789960.0,1699072.0,1078680.0,887040.0,3544440.0,4547051.0,6583920.0,9,2135865.4444444445
179,ADF,AWB,49396.0,56426.0,1311120.0,2320384.0,2040960.0,2373720.0,4641840.0,4907949.0,11123040.0,9,3202759.4444444445
180,ADF,AWC,217.0,768.0,42840.0,62464.0,3360.0,42840.0,3120.0,126044.0,21600.0,9,33694.77777777778
181,ADF,BAG,0.0,5099.0,80400.0,27136.0,9120.0,3600.0,36000.0,48322.0,168720.0,8,47299.625
182,ADF,DVA,497.0,2707.0,134400.0,148224.0,227280.0,193440.0,25440.0,656915.0,35280.0,9,158242.55555555556
183,ADF,OLQ,2480.0,1389.0,48120.0,53504.0,47520.0,72600.0,244680.0,72652.0,239280.0,9,86913.88888888889
184,ADF,PVP,481.0,14571.0,185160.0,24576.0,205320.0,74040.0,377400.0,42915.0,1130880.0,9,228371.44444444444
185,ADF,PVQ,0.0,0.0,3120.0,9984.0,720.0,63480.0,0.0,0.0,0.0,4,19326.0
186,ADF,RIA,34142.0,76166.0,463800.0,814848.0,483120.0,1143960.0,2987880.0,3916829.0,4911120.0,9,1647985.0
187,ADF,RIB,0.0,13033.0,242880.0,293888.0,146640.0,412920.0,485880.0,503162.0,1237440.0,8,416980.375
188,ADF,RID,0.0,1976.0,30360.0,0.0,0.0,0.0,0.0,14530.0,0.0,3,15622.0
189,ADF,RIH,1001.0,5411.0,111240.0,132096.0,38640.0,0.0,221640.0,197682.0,1270560.0,8,247283.75
190,ADF,RIR,27710.0,36119.0,1281960.0,2085888.0,1024560.0,2197560.0,1958520.0,2500945.0,6351840.0,9,1940566.888888889
191,ADF,RME,0.0,0.0,28080.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28080.0
192,ADF,SAA,0.0,0.0,5160.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5160.0
193,ADF,SIA,5253.0,997.0,89280.0,296192.0,233520.0,1560.0,490560.0,1139803.0,353520.0,9,290076.1111111111
194,ADF,SMB,48988.0,80712.0,644640.0,2040576.0,1906080.0,1245600.0,4789680.0,4431143.0,5051520.0,9,2248771.0
195,ADF,URX,18798.0,19074.0,1010760.0,1411584.0,1026720.0,2030520.0,1659840.0,3436307.0,3953760.0,9,1618595.888888889
196,ADF,URY,0.0,644.0,25800.0,97536.0,46800.0,53040.0,56400.0,5744.0,33600.0,8,39945.5
197,ADF,ASI,0.0,8500.0,0.0,2048.0,0.0,36240.0,49320.0,0.0,16320.0,5,22485.6
198,ADF,DB,0.0,0.0,0.0,44800.0,0.0,0.0,0.0,0.0,0.0,1,44800.0
199,ADF,RIF,3191.0,10756.0,0.0,73216.0,136560.0,280440.0,280200.0,672459.0,1440720.0,8,362192.75
200,ADF,SIBD,0.0,3582.0,0.0,193536.0,86040.0,0.0,86160.0,0.0,278640.0,5,129591.6
201,ADF,SIBV,4731.0,9694.0,0.0,157184.0,110160.0,210120.0,324840.0,775188.0,1350720.0,8,367829.625
202,ADF,AIM,8814.0,4754.0,0.0,0.0,720.0,25920.0,4320.0,325416.0,980400.0,7,192906.2857142857
203,ADF,Fragment1,0.0,0.0,0.0,0.0,13560.0,0.0,0.0,0.0,0.0,1,13560.0
204,ADF,RIM,518.0,5188.0,0.0,0.0,3240.0,174840.0,3000.0,19937.0,425280.0,7,90286.14285714286
205,ADF,RIS,0.0,0.0,0.0,0.0,22320.0,0.0,0.0,0.0,0.0,1,22320.0
206,ADF,AQR,0.0,4484.0,0.0,0.0,0.0,76680.0,0.0,0.0,0.0,2,40582.0
207,ADF,AVM,0.0,0.0,0.0,0.0,0.0,60240.0,0.0,95293.0,0.0,2,77766.5
208,ADF,CEPV,0.0,0.0,0.0,0.0,0.0,21240.0,0.0,0.0,0.0,1,21240.0
209,ADF,RIC,0.0,0.0,0.0,0.0,0.0,11760.0,0.0,116582.0,469440.0,3,199260.66666666666
210,ADF,RIG,1409.0,10944.0,0.0,0.0,0.0,119280.0,663480.0,886701.0,693360.0,6,395862.3333333333
211,ADF,ASJ,0.0,0.0,0.0,0.0,0.0,0.0,43560.0,0.0,0.0,1,43560.0
212,ADF,AVF,0.0,0.0,0.0,0.0,0.0,0.0,9720.0,0.0,9120.0,2,9420.0
