,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,pristi14_chem.csv' with 102 nodes and 1091 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight,conserved,average_size,elegans_sum,pristi_sum,pristi_specific,elegans_specific,in_pristi
38,ADA,RMG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,1,yes,no,yes
39,ADA,SIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2,2.0,1,1,no,no,yes
40,ADA,IL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,0,no,no,no
41,AIA,ADA,5.0,0.0,4.0,1.0,0.0,1.0,8.0,4.0,5.0,0.0,1.0,8,3.625,8,0,no,no,no
42,AIA,ADL,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,7.0,2.0,0.0,6,4.0,5,1,no,no,yes
43,AIA,AIB,21.0,17.0,14.0,10.0,5.0,22.0,99.0,25.0,34.0,18.0,21.0,11,26.0,10,1,no,no,yes
44,AIA,AIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,no
45,AIA,AIZ,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,4,3.5,4,0,no,no,no
46,AIA,ASG,2.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,2.0,1.0,7,2.4285714285714284,6,1,no,no,yes
47,AIA,ASK,4.0,5.0,6.0,5.0,4.0,0.0,10.0,5.0,3.0,4.0,2.0,10,4.8,9,1,no,no,yes
48,AIA,AWC,8.0,6.0,7.0,1.0,1.0,13.0,19.0,13.0,21.0,5.0,13.0,11,9.727272727272727,10,1,no,no,yes
