,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
472,ASE,PVQ,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
473,ASE,RIA,5.0,1.0,2.0,0.0,0.0,3,8.0,8.0,3,0,cel_specific
474,ASE,RIB,0.0,0.0,0.0,0.0,7.0,1,7.0,7.0,0,1,not specific
475,ASE,RIM,0.0,0.0,0.0,0.0,7.0,1,7.0,3.5,0,1,not specific
476,ASE,RIR,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
477,ASE,RIS,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
478,ASE,RMG,0.0,0.0,0.0,16.0,0.0,1,16.0,16.0,0,1,not specific
479,ASG,AIA,29.0,19.0,126.0,31.0,12.0,5,217.0,72.33333333333333,3,2,core
480,ASG,AIB,7.0,4.0,23.0,11.0,0.0,4,45.0,9.0,3,1,not specific
481,ASG,AIM,2.0,3.0,0.0,0.0,3.0,3,8.0,4.0,2,1,not specific
482,ASG,AIN,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
483,ASG,AIY,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
484,ASG,AIZ,0.0,1.0,0.0,4.0,0.0,2,5.0,1.0,1,1,not specific
485,ASG,ASE,0.0,0.0,3.0,0.0,19.0,2,22.0,5.5,1,1,not specific
486,ASG,ASH,0.0,0.0,0.0,0.0,2.0,1,2.0,1.0,0,1,not specific
487,ASG,ASJ,1.0,1.0,0.0,2.0,0.0,3,4.0,1.3333333333333333,2,1,not specific
488,ASG,ASK,0.0,0.0,3.0,4.0,4.0,3,11.0,3.6666666666666665,1,2,not specific
489,ASG,AVB,0.0,0.0,0.0,4.0,0.0,1,4.0,1.3333333333333333,0,1,not specific
490,ASG,AVE,0.0,0.0,0.0,3.0,4.0,2,7.0,1.75,0,2,pristi_specific
491,ASG,AWC,1.0,0.0,0.0,68.0,0.0,2,69.0,23.0,1,1,not specific
492,ASG,CEP,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
493,ASH,ADA,6.0,5.0,8.0,0.0,0.0,3,19.0,19.0,3,0,cel_specific
494,ASH,ADF,4.0,1.0,11.0,0.0,0.0,3,16.0,8.0,3,0,cel_specific
495,ASH,ADL,3.0,7.0,19.0,1.0,0.0,4,30.0,6.0,3,1,not specific
496,ASH,AFD,0.0,0.0,0.0,5.0,0.0,1,5.0,1.25,0,1,not specific
497,ASH,AIA,28.0,25.0,61.0,25.0,0.0,4,139.0,139.0,3,1,not specific
498,ASH,AIB,14.0,14.0,25.0,22.0,6.0,5,81.0,81.0,3,2,core
499,ASH,AIM,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
500,ASH,AIY,2.0,1.0,0.0,26.0,16.0,4,45.0,45.0,2,2,not specific
