,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific
678,AVF,RID,0.0,1.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific
679,AVF,RIF,2.0,5.0,2.0,3.0,0.0,4,12.0,6.0,3,1,not specific
680,AVF,RMD,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
681,AVF,RMG,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
682,AVF,SIA,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
683,AVF,SMB,0.0,1.0,1.0,0.0,0.0,2,2.0,0.4,2,0,not specific
684,AVF,SMD,1.0,0.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific
685,AVF,URA,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
686,AVH,ADF,3.0,6.0,5.0,0.0,0.0,3,14.0,14.0,3,0,cel_specific
687,AVH,ADL,1.0,1.0,3.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific
688,AVH,AIA,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
689,AVH,AIB,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
690,AVH,AIN,1.0,2.0,0.0,0.0,0.0,2,3.0,1.0,2,0,not specific
691,AVH,AQR,2.0,0.0,1.0,0.0,0.0,2,3.0,0.75,2,0,not specific
692,AVH,ASH,2.0,1.0,1.0,0.0,0.0,3,4.0,0.8,3,0,cel_specific
693,AVH,ASK,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
694,AVH,AVA,3.0,1.0,2.0,0.0,0.0,3,6.0,3.0,3,0,cel_specific
695,AVH,AVB,1.0,5.0,6.0,0.0,0.0,3,12.0,3.0,3,0,cel_specific
696,AVH,AVD,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
697,AVH,AVH,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
698,AVH,AVJ,2.0,4.0,8.0,0.0,0.0,3,14.0,14.0,3,0,cel_specific
699,AVH,AVM,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
700,AVH,AWB,5.0,6.0,4.0,0.0,0.0,3,15.0,5.0,3,0,cel_specific
701,AVH,BAG,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
702,AVH,BDU,1.0,0.0,1.0,0.0,0.0,2,2.0,1.0,2,0,not specific
703,AVH,DVA,5.0,1.0,1.0,0.0,0.0,3,7.0,3.5,3,0,cel_specific
704,AVH,PVC,2.0,1.0,0.0,0.0,0.0,2,3.0,1.5,2,0,not specific
705,AVH,PVP,7.0,5.0,11.0,0.0,0.0,3,23.0,11.5,3,0,cel_specific
706,AVH,RIF,1.0,0.0,1.0,0.0,0.0,2,2.0,1.0,2,0,not specific
707,AVH,RIG,0.0,1.0,1.0,0.0,0.0,2,2.0,0.5,2,0,not specific
708,AVH,RIM,1.0,1.0,1.0,0.0,0.0,3,3.0,3.0,3,0,cel_specific
709,AVH,RIR,7.0,13.0,10.0,0.0,0.0,3,30.0,30.0,3,0,cel_specific
710,AVH,RIV,3.0,0.0,0.0,0.0,0.0,1,3.0,3.0,1,0,not specific
711,AVH,RMF,0.0,1.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
712,AVH,SIA,1.0,0.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific
713,AVH,SMB,6.0,10.0,12.0,0.0,0.0,3,28.0,28.0,3,0,cel_specific
714,AVH,SMD,2.0,1.0,0.0,0.0,0.0,2,3.0,3.0,2,0,not specific
715,AVH,URX,2.0,1.0,0.0,0.0,0.0,2,3.0,3.0,2,0,not specific
716,AVJ,ADA,1.0,0.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific
717,AVJ,ADL,0.0,0.0,0.0,0.0,2.0,1,2.0,1.0,0,1,not specific
718,AVJ,AIN,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific
719,AVJ,AIY,0.0,1.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific
720,AVJ,ALM,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
721,AVJ,AQR,0.0,1.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific
722,AVJ,ASH,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
723,AVJ,ASK,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
724,AVJ,AVA,1.0,1.0,1.0,0.0,0.0,3,3.0,3.0,3,0,cel_specific
725,AVJ,AVB,11.0,7.0,19.0,22.0,20.0,5,79.0,39.5,3,2,core
726,AVJ,AVD,0.0,1.0,2.0,5.0,0.0,3,8.0,8.0,2,1,not specific
727,AVJ,AVE,0.0,0.0,0.0,3.0,10.0,2,13.0,4.333333333333333,0,2,pristi_specific
728,AVJ,AVH,0.0,0.0,2.0,0.0,0.0,1,2.0,0.4,1,0,not specific
729,AVJ,AVJ,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific
730,AVJ,AVM,2.0,2.0,1.0,0.0,0.0,3,5.0,2.5,3,0,cel_specific
731,AVJ,DVA,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
732,AVJ,FLP,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
733,AVJ,OLQ,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
734,AVJ,PVC,8.0,4.0,19.0,5.0,2.0,5,38.0,9.5,3,2,core
735,AVJ,PVN,0.0,1.0,4.0,0.0,0.0,2,5.0,2.5,2,0,not specific
736,AVJ,PVP,0.0,1.0,0.0,9.0,0.0,2,10.0,3.3333333333333335,1,1,not specific
737,AVJ,RID,2.0,0.0,1.0,0.0,0.0,2,3.0,1.0,2,0,not specific
738,AVJ,RIF,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
739,AVJ,RIM,0.0,1.0,0.0,6.0,0.0,2,7.0,3.5,1,1,not specific
740,AVJ,RIS,1.0,1.0,1.0,0.0,0.0,3,3.0,3.0,3,0,cel_specific
741,AVJ,SIB,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
742,AVJ,URY,0.0,0.0,0.0,3.0,0.0,1,3.0,1.5,0,1,not specific
743,AVK,ADA,0.0,0.0,0.0,4.0,0.0,1,4.0,2.0,0,1,not specific
744,AVK,AIB,3.0,0.0,0.0,13.0,2.0,3,18.0,9.0,1,2,not specific
745,AVK,AQR,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0,1,not specific
746,AVK,AVA,0.0,0.0,0.0,3.0,2.0,2,5.0,1.0,0,2,pristi_specific
747,AVK,AVB,1.0,0.0,2.0,1.0,0.0,3,4.0,4.0,2,1,not specific
748,AVK,AVE,8.0,7.0,6.0,13.0,0.0,4,34.0,34.0,3,1,not specific
749,AVK,AVK,0.0,4.0,5.0,5.0,0.0,3,14.0,2.8,2,1,not specific
750,AVK,AVL,3.0,1.0,0.0,1.0,3.0,4,8.0,4.0,2,2,not specific
751,AVK,DVC,2.0,0.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific
752,AVK,PVT,0.0,0.0,0.0,6.0,0.0,1,6.0,6.0,0,1,not specific
753,AVK,RIA,0.0,0.0,0.0,9.0,0.0,1,9.0,9.0,0,1,not specific
754,AVK,RIG,5.0,0.0,1.0,0.0,2.0,3,8.0,1.6,2,1,not specific
755,AVK,RIM,14.0,14.0,13.0,60.0,46.0,5,147.0,29.4,3,2,core
756,AVK,RIS,6.0,11.0,0.0,3.0,0.0,3,20.0,20.0,2,1,not specific
757,AVK,RIV,3.0,3.0,5.0,2.0,0.0,4,13.0,13.0,3,1,not specific
758,AVK,RMD,6.0,12.0,4.0,0.0,8.0,4,30.0,30.0,3,1,not specific
759,AVK,RMF,2.0,2.0,4.0,0.0,0.0,3,8.0,2.0,3,0,cel_specific
760,AVK,RMG,0.0,0.0,2.0,1.0,0.0,2,3.0,3.0,1,1,not specific
761,AVK,RMH,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
762,AVK,SAA,7.0,6.0,7.0,0.0,4.0,4,24.0,24.0,3,1,not specific
763,AVK,SDQ,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
764,AVK,SIA,0.0,2.0,6.0,9.0,5.0,4,22.0,22.0,2,2,not specific
765,AVK,SIB,0.0,1.0,2.0,0.0,0.0,2,3.0,3.0,2,0,not specific
766,AVK,SMB,1.0,1.0,5.0,0.0,0.0,3,7.0,1.4,3,0,cel_specific
767,AVK,SMD,6.0,5.0,4.0,0.0,0.0,3,15.0,3.0,3,0,cel_specific
768,AVK,URY,0.0,0.0,0.0,7.0,0.0,1,7.0,7.0,0,1,not specific
769,AVL,AQR,0.0,0.0,0.0,0.0,3.0,1,3.0,3.0,0,1,not specific
770,AVL,AVA,0.0,0.0,0.0,6.0,3.0,2,9.0,9.0,0,2,pristi_specific
771,AVL,AVE,0.0,0.0,0.0,0.0,3.0,1,3.0,,0,1,not specific
772,AVL,AVK,0.0,0.0,2.0,0.0,0.0,1,2.0,,1,0,not specific
773,AVL,DVC,0.0,0.0,3.0,0.0,6.0,2,9.0,,1,1,not specific
774,AVL,PVP,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
775,AVL,PVT,1.0,1.0,0.0,10.0,0.0,3,12.0,12.0,2,1,not specific
776,AVL,RIB,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
777,AVL,RIG,0.0,0.0,0.0,0.0,6.0,1,6.0,6.0,0,1,not specific
778,AVL,RIM,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
779,AVL,RIS,1.0,1.0,1.0,0.0,0.0,3,3.0,1.5,3,0,cel_specific
780,AVL,RME,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2,0,not specific
781,AVL,URY,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
782,AVM,ALM,0.0,2.0,0.0,2.0,0.0,2,4.0,2.0,1,1,not specific
783,AVM,AVB,14.0,13.0,29.0,0.0,0.0,3,56.0,28.0,3,0,cel_specific
784,AVM,AVD,3.0,1.0,2.0,0.0,0.0,3,6.0,3.0,3,0,cel_specific
785,AVM,AVH,0.0,0.0,5.0,0.0,0.0,1,5.0,2.5,1,0,not specific
786,AVM,AVJ,5.0,6.0,1.0,0.0,0.0,3,12.0,12.0,3,0,cel_specific
787,AVM,BDU,6.0,5.0,9.0,0.0,0.0,3,20.0,6.666666666666667,3,0,cel_specific
788,AVM,DBn,0.0,0.0,0.0,0.0,4.0,1,4.0,4.0,0,1,not specific
789,AVM,FLP,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
790,AVM,PVC,13.0,16.0,36.0,0.0,0.0,3,65.0,65.0,3,0,cel_specific
791,AVM,PVN,1.0,1.0,10.0,0.0,0.0,3,12.0,3.0,3,0,cel_specific
792,AVM,RIC,0.0,0.0,0.0,8.0,3.0,2,11.0,3.6666666666666665,0,2,pristi_specific
793,AVM,RID,0.0,0.0,3.0,0.0,0.0,1,3.0,0.75,1,0,not specific
794,AVM,RME,0.0,0.0,0.0,2.0,0.0,1,2.0,0.4,0,1,not specific
795,AVM,RMG,0.0,0.0,0.0,2.0,0.0,1,2.0,0.6666666666666666,0,1,not specific
796,AVM,SIB,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
797,AWA,ADA,1.0,0.0,2.0,0.0,2.0,3,5.0,1.6666666666666667,2,1,not specific
798,AWA,ADF,3.0,3.0,12.0,7.0,0.0,4,25.0,25.0,3,1,not specific
799,AWA,ADL,1.0,3.0,0.0,0.0,0.0,2,4.0,4.0,2,0,not specific
800,AWA,AFD,9.0,11.0,30.0,0.0,0.0,3,50.0,50.0,3,0,cel_specific
801,AWA,AIA,4.0,4.0,3.0,2.0,0.0,4,13.0,13.0,3,1,not specific
802,AWA,AIB,1.0,0.0,0.0,45.0,9.0,3,55.0,18.333333333333332,1,2,not specific
803,AWA,AIM,0.0,1.0,0.0,3.0,0.0,2,4.0,4.0,1,1,not specific
804,AWA,AIN,0.0,0.0,0.0,4.0,0.0,1,4.0,4.0,0,1,not specific
805,AWA,AIY,7.0,9.0,11.0,30.0,0.0,4,57.0,28.5,3,1,not specific
806,AWA,AIZ,26.0,26.0,51.0,50.0,3.0,5,156.0,156.0,3,2,core
807,AWA,ASE,10.0,12.0,12.0,25.0,0.0,4,59.0,59.0,3,1,not specific
808,AWA,ASG,0.0,2.0,2.0,0.0,0.0,2,4.0,2.0,2,0,not specific
809,AWA,ASH,3.0,2.0,2.0,0.0,0.0,3,7.0,,3,0,cel_specific
810,AWA,ASI,0.0,1.0,2.0,1.0,0.0,3,4.0,,2,1,not specific
811,AWA,ASK,2.0,0.0,0.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific
812,AWA,AUA,2.0,0.0,1.0,2.0,0.0,3,5.0,5.0,2,1,not specific
813,AWA,AVB,0.0,0.0,0.0,8.0,5.0,2,13.0,13.0,0,2,pristi_specific
814,AWA,AWA,0.0,0.0,0.0,5.0,0.0,1,5.0,5.0,0,1,not specific
815,AWA,AWB,9.0,11.0,14.0,0.0,2.0,4,36.0,18.0,3,1,not specific
816,AWA,AWC,0.0,0.0,0.0,0.0,11.0,1,11.0,5.5,0,1,not specific
817,AWA,HSN,1.0,2.0,0.0,3.0,0.0,3,6.0,1.5,2,1,not specific
818,AWA,PVN,0.0,0.0,0.0,4.0,0.0,1,4.0,4.0,0,1,not specific
819,AWA,PVQ,0.0,1.0,0.0,3.0,0.0,2,4.0,4.0,1,1,not specific
820,AWA,RIA,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
821,AWA,RIF,5.0,1.0,6.0,0.0,0.0,3,12.0,4.0,3,0,cel_specific
822,AWA,RIG,0.0,1.0,6.0,0.0,0.0,2,7.0,2.3333333333333335,2,0,not specific
823,AWA,RIH,0.0,0.0,0.0,16.0,0.0,1,16.0,5.333333333333333,0,1,not specific
824,AWA,RIM,0.0,0.0,0.0,18.0,5.0,2,23.0,4.6,0,2,pristi_specific
825,AWA,RIR,0.0,0.0,2.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific
826,AWA,SMB,0.0,0.0,0.0,11.0,0.0,1,11.0,11.0,0,1,not specific
827,AWB,ADA,0.0,0.0,0.0,8.0,5.0,2,13.0,6.5,0,2,pristi_specific
828,AWB,ADF,23.0,21.0,32.0,25.0,6.0,5,107.0,107.0,3,2,core
829,AWB,ADL,0.0,0.0,0.0,7.0,3.0,2,10.0,10.0,0,2,pristi_specific
830,AWB,AIA,1.0,5.0,4.0,12.0,8.0,5,30.0,30.0,3,2,core
831,AWB,AIB,0.0,0.0,1.0,10.0,3.0,3,14.0,14.0,1,2,not specific
832,AWB,AIM,0.0,1.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific
833,AWB,AIY,1.0,1.0,2.0,5.0,4.0,5,13.0,13.0,3,2,core
834,AWB,AIZ,13.0,14.0,23.0,7.0,0.0,4,57.0,,3,1,not specific
835,AWB,ALM,0.0,0.0,0.0,19.0,3.0,2,22.0,22.0,0,2,pristi_specific
836,AWB,ASE,1.0,0.0,2.0,9.0,0.0,3,12.0,,2,1,not specific
837,AWB,ASG,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
838,AWB,ASH,0.0,1.0,4.0,0.0,0.0,2,5.0,5.0,2,0,not specific
839,AWB,ASI,0.0,0.0,0.0,11.0,0.0,1,11.0,5.5,0,1,not specific
840,AWB,ASJ,0.0,0.0,0.0,2.0,0.0,1,2.0,1.0,0,1,not specific
841,AWB,AUA,1.0,2.0,0.0,0.0,0.0,2,3.0,3.0,2,0,not specific
842,AWB,AVB,0.0,0.0,4.0,74.0,14.0,3,92.0,30.666666666666668,1,2,not specific
843,AWB,AVD,0.0,0.0,0.0,53.0,10.0,2,63.0,63.0,0,2,pristi_specific
844,AWB,AVH,0.0,3.0,2.0,0.0,0.0,2,5.0,1.25,2,0,not specific
845,AWB,AVJ,0.0,0.0,0.0,20.0,19.0,2,39.0,39.0,0,2,pristi_specific
846,AWB,AWA,2.0,2.0,2.0,0.0,0.0,3,6.0,6.0,3,0,cel_specific
847,AWB,AWB,0.0,0.0,0.0,6.0,0.0,1,6.0,6.0,0,1,not specific
848,AWB,AWC,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific
849,AWB,HSN,1.0,0.0,5.0,2.0,0.0,3,8.0,4.0,2,1,not specific
850,AWB,OLQ,0.0,0.0,1.0,1.0,0.0,2,2.0,1.0,1,1,not specific
851,AWB,PVC,0.0,0.0,0.0,18.0,2.0,2,20.0,20.0,0,2,pristi_specific
852,AWB,PVN,0.0,0.0,0.0,2.0,2.0,2,4.0,4.0,0,2,pristi_specific
853,AWB,PVP,0.0,0.0,0.0,7.0,0.0,1,7.0,3.5,0,1,not specific
854,AWB,PVQ,0.0,0.0,0.0,2.0,0.0,1,2.0,,0,1,not specific
855,AWB,RIA,3.0,2.0,13.0,18.0,13.0,5,49.0,,3,2,core
856,AWB,RIB,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
857,AWB,RIF,0.0,0.0,1.0,27.0,0.0,2,28.0,28.0,1,1,not specific
858,AWB,RIG,2.0,4.0,2.0,0.0,0.0,3,8.0,8.0,3,0,cel_specific
859,AWB,RIR,0.0,2.0,7.0,17.0,6.0,4,32.0,32.0,2,2,not specific
860,AWB,RIS,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
861,AWB,SIA,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific
862,AWB,SIB,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
863,AWB,SMB,3.0,3.0,5.0,0.0,0.0,3,11.0,11.0,3,0,cel_specific
864,AWB,URY,0.0,0.0,1.0,42.0,7.0,3,50.0,50.0,1,2,not specific
865,AWC,ADF,0.0,0.0,1.0,0.0,2.0,2,3.0,1.0,1,1,not specific
866,AWC,ADL,0.0,0.0,0.0,8.0,0.0,1,8.0,2.0,0,1,not specific
867,AWC,AFD,0.0,2.0,2.0,1.0,2.0,4,7.0,3.5,2,2,not specific
868,AWC,AIA,22.0,22.0,15.0,21.0,0.0,4,80.0,80.0,3,1,not specific
869,AWC,AIB,22.0,30.0,35.0,28.0,13.0,5,128.0,42.666666666666664,3,2,core
870,AWC,AIM,0.0,0.0,0.0,0.0,2.0,1,2.0,2.0,0,1,not specific
871,AWC,AIN,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0,1,not specific
872,AWC,AIY,25.0,34.0,56.0,2.0,52.0,5,169.0,84.5,3,2,core
873,AWC,AIZ,2.0,3.0,1.0,0.0,0.0,3,6.0,6.0,3,0,cel_specific
874,AWC,ASE,7.0,6.0,14.0,0.0,0.0,3,27.0,27.0,3,0,cel_specific
875,AWC,ASG,0.0,0.0,4.0,9.0,0.0,2,13.0,13.0,1,1,not specific
876,AWC,ASH,0.0,0.0,1.0,30.0,2.0,3,33.0,8.25,1,2,not specific
877,AWC,ASI,1.0,2.0,5.0,0.0,0.0,3,8.0,1.6,3,0,cel_specific
878,AWC,ASK,1.0,0.0,0.0,11.0,0.0,2,12.0,4.0,1,1,not specific
879,AWC,AVA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
880,AWC,AVE,0.0,0.0,0.0,6.0,0.0,1,6.0,2.0,0,1,not specific
881,AWC,AWC,24.0,22.0,28.0,0.0,4.0,4,78.0,39.0,3,1,not specific
882,AWC,BAG,3.0,4.0,0.0,0.0,0.0,2,7.0,7.0,2,0,not specific
883,AWC,CEP,0.0,0.0,0.0,17.0,0.0,1,17.0,17.0,0,1,not specific
884,AWC,HSN,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
885,AWC,IL1,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
886,AWC,IL2,1.0,1.0,2.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific
887,AWC,OLL,1.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific
888,AWC,RIA,0.0,0.0,9.0,0.0,0.0,1,9.0,3.0,1,0,not specific
889,AWC,RIM,0.0,0.0,0.0,4.0,0.0,1,4.0,1.0,0,1,not specific
890,AWC,RIV,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
891,AWC,RMF,0.0,2.0,0.0,0.0,0.0,1,2.0,1.0,1,0,not specific
892,AWC,SIB,0.0,0.0,0.0,2.0,0.0,1,2.0,2.0,0,1,not specific
893,AWC,SMD,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
894,BAG,ADF,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
895,BAG,AFD,0.0,1.0,0.0,0.0,4.0,2,5.0,1.6666666666666667,1,1,not specific
896,BAG,AIB,3.0,2.0,2.0,15.0,0.0,4,22.0,4.4,3,1,not specific
897,BAG,AIN,0.0,0.0,1.0,2.0,0.0,2,3.0,1.5,1,1,not specific
898,BAG,AIY,2.0,2.0,3.0,0.0,0.0,3,7.0,2.3333333333333335,3,0,cel_specific
899,BAG,AIZ,0.0,0.0,2.0,2.0,0.0,2,4.0,0.8,1,1,not specific
900,BAG,AQR,0.0,0.0,3.0,0.0,0.0,1,3.0,0.75,1,0,not specific
901,BAG,AUA,0.0,0.0,2.0,5.0,2.0,3,9.0,4.5,1,2,not specific
902,BAG,AVA,4.0,11.0,7.0,0.0,2.0,4,24.0,24.0,3,1,not specific
903,BAG,AVD,1.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1,0,not specific
904,BAG,AVE,11.0,19.0,17.0,6.0,3.0,5,56.0,56.0,3,2,core
905,BAG,BAG,0.0,2.0,4.0,0.0,0.0,2,6.0,1.5,2,0,not specific
906,BAG,CEP,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
907,BAG,OLQ,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
908,BAG,PVP,2.0,0.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific
909,BAG,RIA,26.0,34.0,36.0,37.0,11.0,5,144.0,144.0,3,2,core
910,BAG,RIB,19.0,37.0,42.0,38.0,11.0,5,147.0,73.5,3,2,core
911,BAG,RID,2.0,0.0,3.0,0.0,0.0,2,5.0,2.5,2,0,not specific
912,BAG,RIG,12.0,6.0,20.0,13.0,0.0,4,51.0,25.5,3,1,not specific
913,BAG,RIP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific
914,BAG,RIR,0.0,1.0,0.0,2.0,0.0,2,3.0,1.0,1,1,not specific
915,BAG,RIV,0.0,0.0,2.0,0.0,0.0,1,2.0,0.6666666666666666,1,0,not specific
916,BAG,RMF,9.0,6.0,0.0,0.0,0.0,2,15.0,3.75,2,0,not specific
917,BAG,SMD,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific
918,BAG,URA,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific
919,BAG,URX,2.0,0.0,1.0,0.0,0.0,2,3.0,1.0,2,0,not specific
920,BDU,ADA,0.0,0.0,3.0,0.0,3.0,2,6.0,3.0,1,1,not specific
921,BDU,ADE,0.0,2.0,7.0,0.0,0.0,2,9.0,1.8,2,0,not specific
922,BDU,ALM,7.0,4.0,5.0,14.0,0.0,4,30.0,7.5,3,1,not specific
923,BDU,AVA,0.0,0.0,3.0,0.0,0.0,1,3.0,3.0,1,0,not specific
924,BDU,AVB,2.0,0.0,1.0,0.0,0.0,2,3.0,3.0,2,0,not specific
925,BDU,AVD,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
926,BDU,AVF,1.0,8.0,0.0,0.0,0.0,2,9.0,4.5,2,0,not specific
927,BDU,AVH,2.0,0.0,5.0,0.0,0.0,2,7.0,7.0,2,0,not specific
928,BDU,AVJ,8.0,3.0,9.0,18.0,16.0,5,54.0,54.0,3,2,core
929,BDU,AVK,0.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
930,BDU,AVM,1.0,2.0,0.0,0.0,0.0,2,3.0,1.0,2,0,not specific
931,BDU,BDU,0.0,0.0,0.0,4.0,3.0,2,7.0,3.5,0,2,pristi_specific
932,BDU,CEP,0.0,0.0,1.0,12.0,3.0,3,16.0,8.0,1,2,not specific
933,BDU,HSN,3.0,1.0,6.0,0.0,0.0,3,10.0,3.3333333333333335,3,0,cel_specific
934,BDU,IL1,0.0,0.0,0.0,14.0,0.0,1,14.0,7.0,0,1,not specific
935,BDU,IL2,1.0,1.0,0.0,2.0,2.0,4,6.0,6.0,2,2,not specific
936,BDU,OLL,0.0,0.0,0.0,0.0,2.0,1,2.0,2.0,0,1,not specific
937,BDU,OLQ,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
938,BDU,PLN,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
939,BDU,PVC,4.0,1.0,0.0,0.0,0.0,2,5.0,5.0,2,0,not specific
940,BDU,PVN,7.0,16.0,25.0,11.0,19.0,5,78.0,26.0,3,2,core
941,BDU,PVP,0.0,0.0,0.0,7.0,0.0,1,7.0,7.0,0,1,not specific
942,BDU,PVQ,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific
943,BDU,PVR,0.0,0.0,0.0,17.0,10.0,2,27.0,27.0,0,2,pristi_specific
944,BDU,RIC,0.0,0.0,0.0,3.0,0.0,1,3.0,3.0,0,1,not specific
945,BDU,RID,3.0,1.0,0.0,0.0,0.0,2,4.0,4.0,2,0,not specific
946,BDU,RIF,4.0,0.0,2.0,1.0,0.0,3,7.0,7.0,2,1,not specific
947,BDU,RIP,0.0,0.0,0.0,1.0,0.0,1,1.0,1.0,0,1,not specific
948,BDU,RIS,0.0,0.0,0.0,16.0,2.0,2,18.0,4.5,0,2,pristi_specific
949,BDU,RMG,0.0,0.0,0.0,1.0,0.0,1,1.0,0.3333333333333333,0,1,not specific
950,BDU,SDQ,0.0,1.0,2.0,5.0,7.0,4,15.0,15.0,2,2,not specific
951,BDU,SIB,0.0,0.0,0.0,9.0,0.0,1,9.0,2.25,0,1,not specific
952,BDU,URA,2.0,1.0,6.0,0.0,0.0,3,9.0,2.25,3,0,cel_specific
953,BDU,URB,0.0,0.0,0.0,7.0,2.0,2,9.0,1.8,0,2,pristi_specific
954,BDU,URY,0.0,0.0,0.0,1.0,0.0,1,1.0,0.25,0,1,not specific
955,CEP,ADE,1.0,0.0,0.0,0.0,0.0,1,1.0,0.25,1,0,not specific
956,CEP,ADL,0.0,0.0,3.0,0.0,0.0,1,3.0,1.5,1,0,not specific
957,CEP,AFD,0.0,0.0,2.0,0.0,0.0,1,2.0,2.0,1,0,not specific
958,CEP,AIN,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
959,CEP,ALM,1.0,1.0,2.0,0.0,0.0,3,4.0,4.0,3,0,cel_specific
960,CEP,ASG,0.0,0.0,2.0,0.0,0.0,1,2.0,1.0,1,0,not specific
961,CEP,AVB,3.0,0.0,0.0,0.0,0.0,1,3.0,1.5,1,0,not specific
962,CEP,AVD,1.0,1.0,0.0,0.0,0.0,2,2.0,0.6666666666666666,2,0,not specific
