,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult
33,ADA,CEP,63240.0,490240.0,295680.0,136440.0,311040.0,232150.0,907.0,920.0,189120.0,455.0,292.0,11,4,156407.63636363635,9,2,no,no,core,no,core
34,ADA,DVA,438960.0,1600256.0,1299120.0,1444440.0,1854480.0,1970073.0,7002.0,31409.0,2680080.0,23948.0,18247.0,11,4,1033455.9090909091,9,2,no,no,core,no,core
35,ADA,DVC,0.0,39680.0,12480.0,2760.0,0.0,14192.0,465.0,0.0,960.0,490.0,1845.0,8,3,9109.0,6,2,no,no,not specific,no,not specific
36,ADA,FLP,177720.0,418048.0,165000.0,216720.0,1163280.0,558580.0,9222.0,18968.0,990720.0,0.0,0.0,9,2,413139.77777777775,9,0,yes,no,cel_specific,no,cel_specific
41,ADA,IL1,44640.0,32256.0,53640.0,6120.0,39720.0,54404.0,835.0,523.0,307680.0,1976.0,2095.0,11,4,49444.454545454544,9,2,no,no,core,no,core
42,ADA,IL2,111480.0,184832.0,64560.0,31800.0,274680.0,195315.0,1871.0,3858.0,414960.0,7702.0,8497.0,11,4,118141.36363636363,9,2,no,no,core,no,core
43,ADA,OLL,9840.0,3328.0,0.0,0.0,79320.0,34129.0,0.0,4.0,0.0,1995.0,1824.0,7,3,18634.285714285714,5,2,no,no,not specific,no,not specific
44,ADA,OLQ,445320.0,506624.0,164760.0,262440.0,386400.0,266280.0,7533.0,859.0,878400.0,3812.0,1313.0,11,4,265794.63636363635,9,2,no,no,core,no,core
46,ADA,PVC,10200.0,34048.0,33480.0,112920.0,116400.0,76369.0,963.0,1641.0,9600.0,0.0,1663.0,10,3,39728.4,9,1,no,no,not specific,no,not specific
48,ADA,PVP,521520.0,590336.0,268080.0,362040.0,1027680.0,939079.0,1456.0,6942.0,828240.0,8593.0,14047.0,11,4,415273.9090909091,9,2,no,no,core,no,core
49,ADA,PVQ,52080.0,159744.0,279600.0,582840.0,675840.0,442336.0,1623.0,1280.0,701280.0,6357.0,10848.0,11,4,264893.45454545453,9,2,no,no,core,no,core
50,ADA,PVR,201840.0,668416.0,316680.0,201240.0,392520.0,109824.0,2805.0,4225.0,685680.0,36818.0,10097.0,11,4,239104.0909090909,9,2,no,no,core,no,core
51,ADA,PVT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7920.0,5758.0,1390.0,3,3,5022.666666666667,1,2,no,no,not specific,no,not specific
52,ADA,RIA,40200.0,122880.0,132720.0,200160.0,300120.0,76707.0,1741.0,2358.0,348720.0,4201.0,5060.0,11,4,112260.63636363637,9,2,no,no,core,no,core
53,ADA,RIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5015.0,1,1,5015.0,0,1,no,no,not specific,no,not specific
54,ADA,RIC,2462160.0,3039744.0,1876320.0,2287920.0,3246480.0,2166403.0,40287.0,40749.0,6607680.0,32384.0,19628.0,11,4,1983614.0909090908,9,2,no,no,core,no,core
55,ADA,RID,109440.0,169216.0,64680.0,352440.0,357840.0,198021.0,577.0,3811.0,239280.0,0.0,334.0,10,3,149563.9,9,1,no,no,not specific,no,not specific
56,ADA,RIF,350040.0,740864.0,540480.0,225960.0,512880.0,333526.0,8905.0,8299.0,791280.0,3646.0,2249.0,11,4,319829.9090909091,9,2,no,no,core,no,core
57,ADA,RIG,0.0,14336.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,3416.0,0.0,3,1,8637.333333333334,2,1,no,no,not specific,no,not specific
58,ADA,RIH,124920.0,187648.0,65040.0,0.0,0.0,8448.0,0.0,0.0,82560.0,0.0,0.0,5,1,93723.2,5,0,no,no,not specific,no,not specific
59,ADA,RIM,708600.0,1731072.0,1421280.0,1739640.0,5924160.0,6709063.0,67969.0,76387.0,12327360.0,16286.0,11832.0,11,4,2793968.090909091,9,2,no,no,core,no,core
60,ADA,RIP,0.0,0.0,46200.0,237240.0,680760.0,807966.0,14261.0,10241.0,2129040.0,1340.0,3130.0,9,4,436686.44444444444,7,2,no,no,not specific,no,core
61,ADA,RIR,30240.0,0.0,38400.0,600.0,0.0,41902.0,13.0,35.0,0.0,0.0,0.0,6,1,18531.666666666668,6,0,no,no,not specific,no,not specific
62,ADA,RIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,1,1,80.0,1,0,no,no,not specific,no,not specific
63,ADA,RIV,687360.0,219136.0,617160.0,355440.0,585240.0,310547.0,1591.0,3283.0,1498320.0,3865.0,2541.0,11,4,389498.45454545453,9,2,no,no,core,no,core
64,ADA,RMD,105480.0,7936.0,162720.0,6000.0,46440.0,4055.0,0.0,158.0,148560.0,2985.0,2126.0,10,4,48646.0,8,2,no,no,not specific,no,core
65,ADA,RME,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,387840.0,0.0,0.0,2,1,193968.5,2,0,no,no,not specific,no,not specific
67,ADA,RMG,377760.0,407808.0,206280.0,522360.0,692520.0,1797396.0,7894.0,11453.0,2161440.0,8747.0,7989.0,11,4,563786.0909090909,9,2,no,no,core,no,core
69,ADA,SAA,1514640.0,1115648.0,1099440.0,812520.0,908040.0,1146560.0,5070.0,6588.0,2396880.0,6483.0,5093.0,11,4,819723.8181818182,9,2,no,no,core,no,core
72,ADA,SIA,178680.0,754688.0,210960.0,552480.0,1281960.0,390634.0,3456.0,7309.0,976560.0,11278.0,10598.0,11,4,398054.8181818182,9,2,no,no,core,no,core
73,ADA,SIB,1020720.0,2109952.0,1221600.0,1065360.0,2574960.0,1531113.0,19461.0,25968.0,2594400.0,8080.0,6240.0,11,4,1107077.6363636365,9,2,no,no,core,no,core
74,ADA,SMB,428880.0,955392.0,741120.0,579240.0,1730760.0,1240163.0,6049.0,8072.0,2317920.0,1258.0,969.0,11,4,728165.7272727273,9,2,no,no,core,no,core
75,ADA,SMD,435840.0,952064.0,714360.0,410520.0,387120.0,588316.0,2418.0,17633.0,1881120.0,2412.0,3740.0,11,4,490503.9090909091,9,2,no,no,core,no,core
76,ADA,URA,30360.0,189184.0,135840.0,131160.0,141840.0,250059.0,3145.0,1388.0,496800.0,399.0,235.0,11,4,125491.81818181818,9,2,no,no,core,no,core
77,ADA,URB,219840.0,637696.0,429120.0,698400.0,1006920.0,1026938.0,7221.0,6441.0,3806880.0,0.0,533.0,10,3,783998.9,9,1,no,no,not specific,no,not specific
78,ADA,URX,319680.0,678656.0,642480.0,746640.0,1664040.0,3898244.0,32614.0,37960.0,8024160.0,11649.0,14222.0,11,4,1460940.4545454546,9,2,no,no,core,no,core
79,ADA,URY,396600.0,412928.0,237360.0,303960.0,501480.0,632247.0,4109.0,3755.0,794640.0,4224.0,3314.0,11,4,299510.63636363635,9,2,no,no,core,no,core
83,ADE,ADE,664920.0,1245440.0,1239720.0,0.0,3081960.0,4401408.0,8129.0,73991.0,6899040.0,3732.0,6166.0,10,4,1762450.6,8,2,no,no,not specific,no,core
84,ADE,ADL,0.0,0.0,0.0,600.0,135600.0,0.0,0.0,394.0,0.0,0.0,0.0,3,1,45531.333333333336,3,0,no,no,not specific,no,not specific
85,ADE,AIB,6000.0,10752.0,0.0,144960.0,0.0,0.0,0.0,0.0,18480.0,0.0,0.0,4,1,45048.0,4,0,no,no,not specific,no,not specific
86,ADE,AIM,0.0,0.0,0.0,0.0,0.0,0.0,81.0,130.0,0.0,0.0,0.0,2,1,105.5,2,0,no,no,not specific,no,not specific
87,ADE,AIN,0.0,0.0,0.0,153480.0,177360.0,411923.0,9060.0,15130.0,2519760.0,0.0,0.0,6,2,547785.5,6,0,no,no,not specific,no,cel_specific
88,ADE,AIY,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,66240.0,9.0,0.0,3,2,22090.333333333332,2,1,no,no,not specific,no,not specific
89,ADE,AIZ,0.0,0.0,0.0,5160.0,0.0,0.0,0.0,0.0,135360.0,0.0,0.0,2,1,70260.0,2,0,no,no,not specific,no,not specific
90,ADE,ALA,0.0,0.0,0.0,26760.0,7560.0,50012.0,37.0,5722.0,13440.0,0.0,0.0,6,2,17255.166666666668,6,0,no,no,not specific,no,cel_specific
91,ADE,ALM,0.0,0.0,0.0,116400.0,237120.0,795463.0,14995.0,10933.0,2333760.0,24518.0,10864.0,8,4,443006.625,6,2,no,no,not specific,no,core
92,ADE,ALN,0.0,0.0,0.0,354120.0,980400.0,1466572.0,6210.0,25387.0,2970240.0,0.0,0.0,6,2,967154.8333333334,6,0,no,no,not specific,no,cel_specific
94,ADE,ASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,1,1,371.0,1,0,no,no,not specific,no,not specific
95,ADE,ASI,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,2,1,674.5,2,0,no,no,not specific,no,not specific
96,ADE,ASJ,0.0,0.0,0.0,0.0,76440.0,3717.0,4948.0,1689.0,235200.0,0.0,0.0,5,2,64398.8,5,0,no,no,not specific,no,cel_specific
97,ADE,ASK,0.0,0.0,0.0,0.0,0.0,4730.0,0.0,0.0,0.0,0.0,0.0,1,0,4730.0,1,0,no,no,not specific,no,not specific
98,ADE,AVA,643080.0,1499904.0,1144440.0,1592280.0,3072000.0,3121027.0,13884.0,90298.0,5905920.0,25615.0,36850.0,11,4,1558663.4545454546,9,2,no,no,core,no,core
99,ADE,AVD,117120.0,0.0,57480.0,203160.0,658080.0,228770.0,5341.0,4334.0,796800.0,5830.0,0.0,9,3,230768.33333333334,8,1,no,no,not specific,no,not specific
100,ADE,AVE,0.0,0.0,0.0,241560.0,214560.0,15206.0,3632.0,7116.0,503520.0,1398.0,0.0,7,3,140998.85714285713,6,1,no,no,not specific,no,not specific
102,ADE,AVH,0.0,0.0,0.0,208800.0,270240.0,418682.0,3920.0,2667.0,408720.0,0.0,0.0,6,2,218838.16666666666,6,0,no,no,not specific,no,cel_specific
103,ADE,AVJ,3120.0,0.0,0.0,146520.0,306000.0,122326.0,476.0,3747.0,371040.0,0.0,1095.0,8,3,119290.5,7,1,no,no,not specific,no,not specific
104,ADE,AVK,309000.0,657152.0,521520.0,1383960.0,632760.0,453826.0,356.0,9968.0,794160.0,28257.0,9747.0,11,4,436427.8181818182,9,2,no,no,core,no,core
105,ADE,AVL,9360.0,2560.0,89040.0,0.0,2400.0,0.0,852.0,3384.0,38640.0,0.0,37.0,8,3,18284.125,7,1,no,no,not specific,no,not specific
107,ADE,BDU,0.0,104704.0,51360.0,86400.0,214320.0,319334.0,4899.0,17573.0,982320.0,0.0,2558.0,9,3,198163.11111111112,8,1,no,no,not specific,no,not specific
109,ADE,CEP,0.0,0.0,0.0,0.0,394800.0,633937.0,4815.0,5844.0,1157040.0,0.0,0.0,5,2,439287.2,5,0,no,no,not specific,no,cel_specific
110,ADE,DVA,164520.0,0.0,22440.0,89160.0,341760.0,510258.0,1019.0,11826.0,1307760.0,425.0,1617.0,10,4,245078.5,8,2,no,no,not specific,no,core
111,ADE,DVC,382800.0,455168.0,187800.0,589320.0,96600.0,0.0,0.0,426.0,15120.0,17258.0,7176.0,9,4,194629.77777777778,7,2,no,no,not specific,no,core
112,ADE,FLP,673440.0,1423872.0,1000080.0,665640.0,1371720.0,1246923.0,5944.0,41416.0,3415200.0,0.0,0.0,9,2,1093803.888888889,9,0,yes,no,cel_specific,no,cel_specific
115,ADE,IL1,0.0,0.0,0.0,160320.0,1127160.0,2155928.0,12480.0,18770.0,3818160.0,0.0,0.0,6,2,1215469.6666666667,6,0,no,no,not specific,no,cel_specific
116,ADE,IL2,0.0,0.0,0.0,4920.0,95880.0,1611539.0,15515.0,17180.0,1933680.0,0.0,0.0,6,2,613119.0,6,0,no,no,not specific,no,cel_specific
117,ADE,OLL,0.0,0.0,0.0,95520.0,156720.0,1363507.0,14304.0,17360.0,1267440.0,0.0,0.0,6,2,485808.5,6,0,no,no,not specific,no,cel_specific
119,ADE,PVC,169080.0,192256.0,146280.0,0.0,816960.0,673473.0,53.0,0.0,304800.0,3880.0,2678.0,9,3,256606.66666666666,7,2,no,no,not specific,no,not specific
121,ADE,PVP,33480.0,0.0,840.0,8160.0,94080.0,0.0,0.0,0.0,4080.0,7365.0,596.0,7,3,21228.714285714286,5,2,no,no,not specific,no,not specific
122,ADE,PVQ,0.0,90368.0,0.0,101400.0,125760.0,675.0,0.0,0.0,0.0,0.0,0.0,4,0,79550.75,4,0,no,no,not specific,no,not specific
123,ADE,PVR,0.0,0.0,46560.0,26520.0,158040.0,102727.0,1834.0,5134.0,1275600.0,1739.0,0.0,8,3,202269.25,7,1,no,no,not specific,no,not specific
124,ADE,PVT,156240.0,315904.0,22680.0,115200.0,120.0,444026.0,0.0,0.0,628080.0,0.0,6438.0,8,2,211086.0,7,1,no,no,not specific,no,not specific
125,ADE,RIA,0.0,0.0,0.0,7080.0,437760.0,470722.0,1200.0,2316.0,765120.0,0.0,0.0,6,2,280699.6666666667,6,0,no,no,not specific,no,cel_specific
126,ADE,RIC,0.0,0.0,0.0,57720.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,2,1,29103.0,1,1,no,no,not specific,no,not specific
127,ADE,RID,0.0,0.0,0.0,10080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10080.0,1,0,no,no,not specific,no,not specific
128,ADE,RIF,0.0,0.0,0.0,5640.0,186240.0,272025.0,8331.0,5733.0,529920.0,15852.0,15315.0,8,4,129882.0,6,2,no,no,not specific,no,core
129,ADE,RIG,482640.0,962560.0,483120.0,1642800.0,2427840.0,3319387.0,11583.0,61398.0,7312320.0,49273.0,42429.0,11,4,1526850.0,9,2,no,no,core,no,core
130,ADE,RIH,380040.0,615936.0,418560.0,73680.0,454680.0,3560324.0,4661.0,48848.0,8572320.0,245.0,13014.0,11,4,1285664.3636363635,9,2,no,no,core,no,core
131,ADE,RIM,0.0,0.0,0.0,591600.0,0.0,129423.0,588.0,0.0,85200.0,210.0,132.0,6,3,134525.5,4,2,no,no,not specific,no,not specific
132,ADE,RIR,0.0,0.0,0.0,23400.0,0.0,0.0,0.0,2823.0,0.0,0.0,0.0,2,1,13111.5,2,0,no,no,not specific,no,not specific
133,ADE,RIS,175920.0,170496.0,840.0,204960.0,427440.0,0.0,51.0,0.0,55440.0,911.0,469.0,9,3,115169.66666666667,7,2,no,no,not specific,no,not specific
134,ADE,RIV,0.0,0.0,7320.0,663000.0,1048560.0,732272.0,11456.0,25106.0,3180480.0,0.0,96.0,8,3,708536.25,7,1,no,no,not specific,no,not specific
135,ADE,RMD,0.0,0.0,0.0,109320.0,138840.0,1652764.0,14682.0,19638.0,2748240.0,0.0,0.0,6,2,780580.6666666666,6,0,no,no,not specific,no,cel_specific
136,ADE,RME,0.0,0.0,0.0,0.0,135360.0,1890999.0,9536.0,19010.0,966960.0,0.0,0.0,5,2,604373.0,5,0,no,no,not specific,no,cel_specific
138,ADE,RMG,0.0,0.0,0.0,27480.0,11640.0,235530.0,4056.0,1673.0,154320.0,8802.0,585.0,8,4,55510.75,6,2,no,no,not specific,no,core
140,ADE,SAA,1122720.0,1935616.0,1337760.0,1793520.0,1638720.0,2159644.0,6446.0,18065.0,7221360.0,5223.0,47.0,11,4,1567192.8181818181,9,2,no,no,core,no,core
143,ADE,SIA,0.0,3328.0,0.0,3720.0,29640.0,21964.0,3181.0,819.0,1025520.0,2449.0,2478.0,9,4,121455.44444444444,7,2,no,no,not specific,no,core
144,ADE,SIB,0.0,0.0,94440.0,273240.0,1007040.0,812694.0,6478.0,9601.0,4038240.0,872.0,2152.0,9,4,693861.8888888889,7,2,no,no,not specific,no,core
145,ADE,SMB,22440.0,106752.0,75960.0,215160.0,717120.0,943133.0,5964.0,6686.0,2462880.0,1684.0,2680.0,11,4,414587.1818181818,9,2,no,no,core,no,core
146,ADE,SMD,210840.0,503296.0,603840.0,1140240.0,2331480.0,2061648.0,3726.0,22181.0,6123600.0,0.0,0.0,9,2,1444539.0,9,0,yes,no,cel_specific,no,cel_specific
147,ADE,URB,0.0,0.0,0.0,282720.0,2268120.0,2308330.0,16180.0,15331.0,3642720.0,0.0,0.0,6,2,1422233.5,6,0,no,no,not specific,no,cel_specific
148,ADE,URX,0.0,0.0,0.0,0.0,103560.0,0.0,167.0,3846.0,33360.0,0.0,0.0,4,2,35233.25,4,0,no,no,not specific,no,cel_specific
149,ADE,URY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,1,1,189.0,0,1,no,no,not specific,no,not specific
155,ADF,ADF,136680.0,99840.0,114960.0,286800.0,171120.0,332513.0,2205.0,97.0,553200.0,455.0,901.0,11,4,154433.72727272726,9,2,no,no,core,no,core
156,ADF,ADL,0.0,0.0,0.0,0.0,0.0,133816.0,999.0,2809.0,1404720.0,3195.0,9476.0,6,4,259169.16666666666,4,2,no,no,not specific,no,core
157,ADF,AFD,432840.0,1579520.0,737760.0,629760.0,2900160.0,1693992.0,7664.0,10039.0,2209200.0,2003.0,12192.0,11,4,928648.1818181818,9,2,no,no,core,no,core
158,ADF,AIA,407160.0,406528.0,255840.0,298080.0,365040.0,660970.0,3023.0,7171.0,2034720.0,738.0,1654.0,11,4,403720.36363636365,9,2,no,no,core,no,core
159,ADF,AIB,179160.0,289792.0,255360.0,455640.0,142320.0,648805.0,1622.0,5378.0,657600.0,7498.0,7756.0,11,4,240993.72727272726,9,2,no,no,core,no,core
160,ADF,AIM,0.0,0.0,720.0,25920.0,4320.0,325416.0,8814.0,4754.0,980400.0,737.0,6682.0,9,4,150862.55555555556,7,2,no,no,not specific,no,core
161,ADF,AIN,480.0,99584.0,77280.0,0.0,51480.0,357856.0,0.0,0.0,15360.0,5405.0,15051.0,8,3,77812.0,6,2,no,no,not specific,no,not specific
162,ADF,AIY,1695960.0,2431232.0,1221000.0,812160.0,1583640.0,1250641.0,7486.0,14949.0,1492800.0,20454.0,18872.0,11,4,959017.6363636364,9,2,no,no,core,no,core
163,ADF,AIZ,3279000.0,3564800.0,2483400.0,4117800.0,5679720.0,6215024.0,54929.0,75451.0,13841760.0,70334.0,65061.0,11,4,3586116.272727273,9,2,no,no,core,no,core
165,ADF,ASE,867840.0,841472.0,230280.0,1137240.0,983280.0,1211442.0,3142.0,14881.0,1247040.0,33514.0,0.0,10,3,657013.1,9,1,no,no,not specific,no,not specific
166,ADF,ASG,15720.0,0.0,3480.0,0.0,0.0,0.0,0.0,1478.0,221280.0,2723.0,3703.0,6,4,41397.333333333336,4,2,no,no,not specific,no,core
167,ADF,ASH,247920.0,1120512.0,941040.0,609600.0,2349840.0,2150184.0,22032.0,22102.0,1691520.0,1127.0,562.0,11,4,832403.5454545454,9,2,no,no,core,no,core
168,ADF,ASI,0.0,2048.0,0.0,36240.0,49320.0,0.0,0.0,8500.0,16320.0,15676.0,6401.0,7,4,19215.0,5,2,no,no,not specific,no,core
169,ADF,ASJ,0.0,0.0,0.0,0.0,43560.0,0.0,0.0,0.0,0.0,169.0,1108.0,3,2,14945.666666666666,1,2,no,no,not specific,no,pristi_specific
170,ADF,ASK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1,1,1300.0,0,1,no,no,not specific,no,not specific
171,ADF,AUA,1390440.0,2075136.0,2097360.0,1793640.0,4861920.0,5316156.0,54454.0,57635.0,9624240.0,33484.0,42110.0,11,4,2486052.272727273,9,2,no,no,core,no,core
172,ADF,AVA,0.0,0.0,0.0,0.0,0.0,0.0,353.0,337.0,0.0,82.0,975.0,4,3,436.75,2,2,no,no,not specific,no,not specific
173,ADF,AVB,81360.0,355584.0,242160.0,147000.0,226560.0,562298.0,103.0,13022.0,349200.0,0.0,7676.0,10,3,198496.3,9,1,no,no,not specific,no,not specific
174,ADF,AVD,76440.0,0.0,0.0,78480.0,18720.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,57880.0,3,0,no,no,not specific,no,not specific
175,ADF,AVE,11520.0,0.0,0.0,4320.0,0.0,55080.0,0.0,246.0,0.0,0.0,0.0,4,1,17791.5,4,0,no,no,not specific,no,not specific
177,ADF,AVH,766200.0,1752576.0,797640.0,873360.0,2916240.0,2760805.0,21783.0,33135.0,3204960.0,0.0,0.0,9,2,1458522.111111111,9,0,yes,no,cel_specific,no,cel_specific
178,ADF,AVJ,0.0,0.0,0.0,0.0,7080.0,0.0,0.0,0.0,18480.0,404.0,4828.0,4,3,7698.0,2,2,no,no,not specific,no,not specific
180,ADF,AWA,789960.0,1699072.0,1078680.0,887040.0,3544440.0,4547051.0,19477.0,73149.0,6583920.0,70979.0,55373.0,11,4,1759012.8181818181,9,2,no,no,core,no,core
181,ADF,AWB,1311120.0,2320384.0,2040960.0,2373720.0,4641840.0,4907949.0,49396.0,56426.0,11123040.0,82004.0,62765.0,11,4,2633600.3636363638,9,2,no,no,core,no,core
182,ADF,AWC,42840.0,62464.0,3360.0,42840.0,3120.0,126044.0,217.0,768.0,21600.0,6906.0,36137.0,11,4,31481.454545454544,9,2,no,no,core,no,core
183,ADF,BAG,80400.0,27136.0,9120.0,3600.0,36000.0,48322.0,0.0,5099.0,168720.0,662.0,468.0,10,4,37952.7,8,2,no,no,not specific,no,core
184,ADF,BDU,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4800.0,1,0,no,no,not specific,no,not specific
185,ADF,CEP,0.0,0.0,0.0,21240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,21240.0,1,0,no,no,not specific,no,not specific
186,ADF,DB,0.0,44800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,44800.0,1,0,no,no,not specific,no,not specific
