,Unnamed: 0,pre,post,witvliet_7_syn,witvliet_8_syn,cel_n2u_syn,pristi_series14,pristi_series15,how_many_datasets_have_syn,sum_synaptic_weight,average_synaptic_weight,herm_conservation,pristi_conservation,species_specific,how_many_datasets_have_syn_include_zeros,cyto_id,Cytoscape Bins
1397,1706,RMD,SMD,0.0,3.0,2.0,3.0,2.0,4,10.0,10.0,2,2,not specific,10.0,RMD (pp) SMD,>3-10
1398,1707,RMD,URA,0.0,1.0,8.0,3.0,0.0,3,12.0,12.0,2,1,not specific,12.0,RMD (pp) URA,>10
1399,1708,RMD,URB,0.0,0.0,0.0,10.0,0.0,1,10.0,10.0,0,1,not specific,10.0,RMD (pp) URB,>3-10
1400,1709,RMD,URX,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,RMD (pp) URX,1-3
1401,1710,RMD,URY,0.0,2.0,1.0,0.0,0.0,2,3.0,3.0,2,0,not specific,3.0,RMD (pp) URY,1-3
1402,1711,RME,AVE,0.0,0.0,0.0,11.0,3.0,2,14.0,14.0,0,2,pristi_specific,14.0,RME (pp) AVE,>10
1403,1712,RME,IL1,1.0,1.0,6.0,3.0,0.0,4,11.0,3.6666666666666665,3,1,not specific,11.0,RME (pp) IL1,>3-10
1404,1713,RME,OLL,0.0,0.0,1.0,0.0,3.0,2,4.0,1.0,1,1,not specific,4.0,RME (pp) OLL,1-3
1405,1714,RME,RIB,0.0,0.0,4.0,0.0,0.0,1,4.0,1.3333333333333333,1,0,not specific,4.0,RME (pp) RIB,1-3
1406,1715,RME,RIH,0.0,0.0,2.0,0.0,0.0,1,2.0,0.4,1,0,not specific,2.0,RME (pp) RIH,1-3
1407,1716,RME,RIP,0.0,0.0,1.0,0.0,0.0,1,1.0,0.3333333333333333,1,0,not specific,1.0,RME (pp) RIP,1-3
1408,1717,RME,RIS,0.0,0.0,1.0,0.0,0.0,1,1.0,0.25,1,0,not specific,1.0,RME (pp) RIS,1-3
1409,1718,RME,RMD,2.0,2.0,2.0,35.0,3.0,5,44.0,22.0,3,2,core,44.0,RME (pp) RMD,>10
1410,1719,RME,RME,3.0,2.0,8.0,5.0,0.0,4,18.0,18.0,3,1,not specific,18.0,RME (pp) RME,>10
1411,1721,RME,SMD,4.0,6.0,7.0,0.0,1.0,4,18.0,6.0,3,1,not specific,18.0,RME (pp) SMD,>3-10
1412,1746,RMG,ADA,1.0,0.0,5.0,0.0,0.0,2,6.0,6.0,2,0,not specific,6.0,RMG (pp) ADA,>3-10
1413,1747,RMG,ADE,0.0,0.0,2.0,0.0,0.0,1,2.0,0.5,1,0,not specific,2.0,RMG (pp) ADE,1-3
1414,1748,RMG,ADL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,RMG (pp) ADL,1-3
1415,1749,RMG,AIB,1.0,0.0,2.0,0.0,0.0,2,3.0,3.0,2,0,not specific,3.0,RMG (pp) AIB,1-3
1416,1750,RMG,AIM,1.0,3.0,6.0,0.0,0.0,3,10.0,2.0,3,0,cel_specific,10.0,RMG (pp) AIM,1-3
1417,1751,RMG,ALM,1.0,1.0,1.0,0.0,0.0,3,3.0,0.6,3,0,cel_specific,3.0,RMG (pp) ALM,1-3
1418,1752,RMG,ALN,0.0,0.0,3.0,1.0,0.0,2,4.0,4.0,1,1,not specific,4.0,RMG (pp) ALN,>3-10
1419,1753,RMG,ASH,2.0,1.0,2.0,0.0,0.0,3,5.0,5.0,3,0,cel_specific,5.0,RMG (pp) ASH,>3-10
1420,1754,RMG,AVA,1.0,1.0,3.0,0.0,0.0,3,5.0,1.25,3,0,cel_specific,5.0,RMG (pp) AVA,1-3
1421,1755,RMG,AVB,5.0,3.0,8.0,0.0,0.0,3,16.0,16.0,3,0,cel_specific,16.0,RMG (pp) AVB,>10
1422,1756,RMG,AVD,0.0,0.0,2.0,0.0,3.0,2,5.0,5.0,1,1,not specific,5.0,RMG (pp) AVD,>3-10
1423,1757,RMG,AVE,3.0,4.0,8.0,0.0,0.0,3,15.0,15.0,3,0,cel_specific,15.0,RMG (pp) AVE,>10
1424,1759,RMG,AVJ,0.0,1.0,4.0,0.0,0.0,2,5.0,5.0,2,0,not specific,5.0,RMG (pp) AVJ,>3-10
1425,1760,RMG,CEP,1.0,0.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0,RMG (pp) CEP,1-3
1426,1762,RMG,IL1,2.0,0.0,0.0,0.0,0.0,1,2.0,2.0,1,0,not specific,2.0,RMG (pp) IL1,1-3
1427,1763,RMG,IL2,0.0,1.0,2.0,0.0,0.0,2,3.0,1.5,2,0,not specific,3.0,RMG (pp) IL2,1-3
1428,1764,RMG,OLL,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,RMG (pp) OLL,1-3
1429,1767,RMG,PVP,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1,0,not specific,1.0,RMG (pp) PVP,1-3
1430,1768,RMG,RIA,2.0,0.0,0.0,0.0,0.0,1,2.0,1.0,1,0,not specific,2.0,RMG (pp) RIA,1-3
1431,1769,RMG,RID,0.0,2.0,2.0,0.0,0.0,2,4.0,1.0,2,0,not specific,4.0,RMG (pp) RID,1-3
1432,1770,RMG,RIF,1.0,0.0,1.0,0.0,0.0,2,2.0,2.0,2,0,not specific,2.0,RMG (pp) RIF,1-3
1433,1771,RMG,RIG,0.0,0.0,2.0,0.0,0.0,1,2.0,0.4,1,0,not specific,2.0,RMG (pp) RIG,1-3
1434,1772,RMG,RIR,0.0,0.0,1.0,0.0,0.0,1,1.0,0.5,1,0,not specific,1.0,RMG (pp) RIR,1-3
1435,1773,RMG,RMD,30.0,24.0,85.0,58.0,22.0,5,219.0,219.0,3,2,core,219.0,RMG (pp) RMD,>10
1436,1775,RMG,RMG,1.0,0.0,0.0,0.0,0.0,1,1.0,0.2,1,0,not specific,1.0,RMG (pp) RMG,1-3
1437,1777,RMG,SAA,0.0,4.0,5.0,0.0,0.0,2,9.0,4.5,2,0,not specific,9.0,RMG (pp) SAA,>3-10
1438,1779,RMG,SIA,4.0,1.0,10.0,0.0,2.0,4,17.0,4.25,3,1,not specific,17.0,RMG (pp) SIA,>3-10
1439,1780,RMG,SIB,4.0,8.0,10.0,0.0,0.0,3,22.0,22.0,3,0,cel_specific,22.0,RMG (pp) SIB,>10
1440,1781,RMG,SMB,3.0,2.0,3.0,0.0,0.0,3,8.0,8.0,3,0,cel_specific,8.0,RMG (pp) SMB,>3-10
