,pre,post,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size
1240,PVC,SIB,1.0,0.0,0.0,4.0,0.0,4.0,1.0,12.0,6.0,13.0,3.0,0.0,8,5.5,7,1,no,no,not specific,4.1,1.5
1241,PVC,SMB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,2.0,2,0,no,no,not specific,0.4,0.0
1242,PVC,URX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0,1,no,no,not specific,0.0,0.5
1243,PVP,ADA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,5,1.2,5,0,no,no,not specific,0.6,0.0
1244,PVP,ADE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1245,PVP,ADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2.0,1,0,no,no,not specific,0.2,0.0
1246,PVP,ADL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1247,PVP,AIB,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4,2.0,4,0,no,no,not specific,0.8,0.0
1248,PVP,AIZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
1249,PVP,ASH,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4,1.25,4,0,no,no,not specific,0.5,0.0
1250,PVP,AVA,2.0,3.0,2.0,1.0,5.0,6.0,8.0,14.0,7.0,7.0,0.0,0.0,10,5.5,10,0,yes,no,cel_specific,5.5,0.0
1251,PVP,AVB,3.0,4.0,2.0,2.0,11.0,15.0,19.0,48.0,22.0,25.0,0.0,0.0,10,15.1,10,0,yes,no,cel_specific,15.1,0.0
1252,PVP,AVD,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,4,2.5,4,0,no,no,not specific,1.0,0.0
1253,PVP,AVE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3,1.6666666666666667,3,0,no,no,not specific,0.5,0.0
1254,PVP,AVH,1.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,4.0,2.0,0.0,0.0,8,2.25,8,0,no,no,not specific,1.8,0.0
1255,PVP,AVJ,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,5,1.6,5,0,no,no,not specific,0.8,0.0
1256,PVP,AVK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,1,0,no,no,not specific,0.1,0.0
