Connector_ID,Source_ID,Target_ID,Source,Target,Connector_title,Width,Height,lid,Con_X,Con_Y,Con_Radius,z,Scorer,Confirmed,Confidence,Synapse_Type,Sections
44462,53055,53057,ASEL_roi,ASER_roi,c-2,112.0,82.0,11046,49.0,10.0,10.0,40703.916,,,N,c,2
44462,53055,44292,ASEL_roi,AIYL_roi,c-2,112.0,82.0,11046,49.0,10.0,10.0,40703.916,,,N,c,2
44460,53055,44319,ASEL_roi,AIBL_roi,c-2,83.0,119.0,11111,10.0,24.0,10.0,40895.976,,,N,c,2
44460,53055,44304,ASEL_roi,AIAL_roi,c-2,83.0,119.0,11111,10.0,24.0,10.0,40895.976,,,N,c,2
44467,53055,44465,ASEL_roi,AIYR_roi,c-2,58.0,63.0,11011,48.0,53.0,10.0,40601.484000000004,,,N,c,2
44429,44427,53173,PVDL_roi,AVDL_roi,c-2,105.0,118.0,11750,13.0,19.0,13.333333,42854.988,,,N,c,2
44429,44427,40156,PVDL_roi,ASEL,c-2,105.0,118.0,11750,13.0,19.0,13.333333,42854.988,,,N,c,2
44445,53055,44292,ASEL_roi,AIYL_roi,c-1,69.0,41.0,11272,10.0,10.0,10.0,41369.724,,,N,c,1
44447,53111,53055,ASIL_roi,ASEL_roi,c-2,84.0,122.0,11226,10.0,112.0,10.0,41241.684,,,N,c,2
44447,53111,44450,ASIL_roi,PVNL_roi,c-2,84.0,122.0,11226,10.0,112.0,10.0,41241.684,,,N,c,2
44441,53111,44292,ASIL_roi,AIYL_roi,c-2,107.0,112.0,11405,13.0,13.0,13.333333,41766.648,,,N,c,2
44441,53111,53055,ASIL_roi,ASEL_roi,c-2,107.0,112.0,11405,13.0,13.0,13.333333,41766.648,,,N,c,2
44443,53055,44319,ASEL_roi,AIBL_roi,c-1,88.0,121.0,11328,13.0,43.0,13.333333,41536.176,,,N,c,1
44443,53055,44292,ASEL_roi,AIYL_roi,c-1,88.0,121.0,11328,13.0,43.0,13.333333,41536.176,,,N,c,1
44431,53055,53119,ASEL_roi,ASJL_roi,c-2,96.0,100.0,12326,13.0,77.0,13.333333,44583.528,,,N,c,2
44431,53055,44319,ASEL_roi,AIBL_roi,c-2,96.0,100.0,12326,13.0,77.0,13.333333,44583.528,,,N,c,2
44433,53089,53055,AWBL_roi,ASEL_roi,c-5,112.0,110.0,11884,29.0,20.0,13.333333,43264.716,,,N,c,5
44433,53089,44292,AWBL_roi,AIYL_roi,c-5,112.0,110.0,11884,29.0,20.0,13.333333,43264.716,,,N,c,5
44433,53089,44319,AWBL_roi,AIBL_roi,c-5,112.0,110.0,11884,29.0,20.0,13.333333,43264.716,,,N,c,5
44433,53089,44304,AWBL_roi,AIAL_roi,c-5,112.0,110.0,11884,29.0,20.0,13.333333,43264.716,,,N,c,5
44435,44346,53055,HSNL_roi,ASEL_roi,c-1,79.0,112.0,11834,41.0,13.0,13.333333,43111.068,,,N,c,1
44435,44346,44319,HSNL_roi,AIBL_roi,c-1,79.0,112.0,11834,41.0,13.0,13.333333,43111.068,,,N,c,1
44437,53197,53055,AWAL_roi,ASEL_roi,c-6,83.0,92.0,11726,13.0,27.0,13.333333,42778.164000000004,,,N,c,6
44437,53197,44319,AWAL_roi,AIBL_roi,c-6,83.0,92.0,11726,13.0,27.0,13.333333,42778.164000000004,,,N,c,6
44456,53055,44292,ASEL_roi,AIYL_roi,c-4,111.0,88.0,11183,10.0,10.0,10.0,41113.644,,,N,c,4
44456,53055,53140,ASEL_roi,AFDL_roi,c-4,111.0,88.0,11183,10.0,10.0,10.0,41113.644,,,N,c,4
44454,53055,44292,ASEL_roi,AIYL_roi,c-4,102.0,40.0,11197,10.0,30.0,10.0,41152.056000000004,,,N,c,4
44452,44450,44319,PVNL_roi,AIBL_roi,c-1,96.0,131.0,11219,10.0,47.0,10.0,41216.076,,,N,c,1
44452,44450,53055,PVNL_roi,ASEL_roi,c-1,96.0,131.0,11219,10.0,47.0,10.0,41216.076,,,N,c,1
44458,44346,53055,HSNL_roi,ASEL_roi,c-2,88.0,48.0,11181,10.0,10.0,10.0,41100.840000000004,,,N,c,2
44494,53140,44292,AFDL_roi,AIYL_roi,c-7,32.0,64.0,11542,26.0,58.0,6.6666665,42176.376000000004,,,N,c,7
44496,53140,44292,AFDL_roi,AIYL_roi,c-1,15.0,67.0,11487,9.0,61.0,6.6666665,42009.924,,,N,c,1
44498,53140,44292,AFDL_roi,AIYL_roi,c-5,49.0,56.0,11302,43.0,50.0,6.6666665,41459.352,,,N,c,5
44500,53140,44292,AFDL_roi,AIYL_roi,c-6,59.0,36.0,11226,53.0,30.0,6.6666665,41241.684,,,N,c,6
44502,53140,53109,AFDL_roi,ASHL_roi,c-2,61.0,60.0,11219,55.0,25.0,6.6666665,41216.076,,,N,c,2
44502,53140,44292,AFDL_roi,AIYL_roi,c-2,61.0,60.0,11219,55.0,25.0,6.6666665,41216.076,,,N,c,2
44504,53140,44292,AFDL_roi,AIYL_roi,c-4,92.0,28.0,11197,86.0,6.0,6.6666665,41152.056000000004,,,N,c,4
44506,53140,44292,AFDL_roi,AIYL_roi,c-3,75.0,21.0,11171,69.0,15.0,6.6666665,41075.232,,,N,c,3
44508,53140,44292,AFDL_roi,AIYL_roi,c-4,90.0,20.0,11175,84.0,14.0,6.6666665,41088.036,,,N,c,4
44510,53057,53140,ASER_roi,AFDL_roi,c-2,70.0,108.0,11067,6.0,71.0,6.6666665,40767.936,,,N,c,2
44510,53057,44292,ASER_roi,AIYL_roi,c-2,70.0,108.0,11067,6.0,71.0,6.6666665,40767.936,,,N,c,2
44512,53142,53140,AFDR_roi,AFDL_roi,e-5,57.0,25.0,11028,6.0,6.0,6.6666665,40639.896,,,N,e,5
44514,53140,44465,AFDL_roi,AIYR_roi,c-2,17.0,69.0,11028,11.0,6.0,6.6666665,40639.896,,,N,c,2
44516,53140,44292,AFDL_roi,AIYL_roi,c-1,69.0,68.0,11014,6.0,6.0,6.6666665,40614.288,,,N,c,1
44518,53140,44292,AFDL_roi,AIYL_roi,c-1,42.0,66.0,11030,36.0,6.0,6.6666665,40652.700000000004,,,N,c,1
44520,44301,44298,AUAL_roi,RIBL_roi,c-3,59.0,70.0,11328,53.0,64.0,6.6666665,41536.176,,,N,c,3
44520,44301,44307,AUAL_roi,RIAL_roi,c-3,59.0,70.0,11328,53.0,64.0,6.6666665,41536.176,,,N,c,3
44523,44301,44307,AUAL_roi,RIAL_roi,c-1,53.0,67.0,11280,47.0,37.0,6.6666665,41395.332,,,N,c,1
44523,44301,44298,AUAL_roi,RIBL_roi,c-1,53.0,67.0,11280,47.0,37.0,6.6666665,41395.332,,,N,c,1
44525,44301,44307,AUAL_roi,RIAL_roi,c-6,49.0,78.0,11211,43.0,35.0,6.6666665,41190.468,,,N,c,6
44525,44301,44298,AUAL_roi,RIBL_roi,c-6,49.0,78.0,11211,43.0,35.0,6.6666665,41190.468,,,N,c,6
44527,44301,44298,AUAL_roi,RIBL_roi,c-5,74.0,111.0,11144,68.0,55.0,6.6666665,40998.408,,,N,c,5
44527,44301,44307,AUAL_roi,RIAL_roi,c-5,74.0,111.0,11144,68.0,55.0,6.6666665,40998.408,,,N,c,5
44529,44301,52893,AUAL_roi,URXL_roi,e-4,62.0,38.0,11152,56.0,32.0,6.6666665,41024.016,,,N,e,4
44531,44301,44307,AUAL_roi,RIAL_roi,c-4,66.0,93.0,11111,60.0,42.0,6.6666665,40895.976,,,N,c,4
44531,44301,44298,AUAL_roi,RIBL_roi,c-4,66.0,93.0,11111,60.0,42.0,6.6666665,40895.976,,,N,c,4
44533,44301,44307,AUAL_roi,RIAL_roi,c-3,77.0,64.0,11095,71.0,58.0,6.6666665,40844.76,,,N,c,3
44535,44301,44307,AUAL_roi,RIAL_roi,c-1,79.0,40.0,11060,73.0,34.0,6.6666665,40742.328,,,N,c,1
44537,53138,44301,ADFL_roi,AUAL_roi,c-1,85.0,38.0,11113,6.0,6.0,6.6666665,40908.78,,,N,c,1
44539,44301,44307,AUAL_roi,RIAL_roi,c-1,140.0,130.0,11097,38.0,124.0,6.6666665,40857.564,,,N,c,1
44539,44301,44298,AUAL_roi,RIBL_roi,c-1,140.0,130.0,11097,38.0,124.0,6.6666665,40857.564,,,N,c,1
44541,44301,44307,AUAL_roi,RIAL_roi,c-2,82.0,22.0,11102,76.0,6.0,6.6666665,40870.368,,,N,c,2
44543,44295,44301,AIZL_roi,AUAL_roi,c-5,92.0,160.0,11102,6.0,96.0,6.6666665,40870.368,,,N,c,5
44543,44295,44307,AIZL_roi,RIAL_roi,c-5,92.0,160.0,11102,6.0,96.0,6.6666665,40870.368,,,N,c,5
