Connector_ID,Source_ID,Target_ID,Source,Target,Connector_title,Width,Height,lid,Con_X,Con_Y,Con_Radius,z,Scorer,Confirmed,Confidence,Synapse_Type,Sections
37851,35225,34387,RIS_roi,PVCL_roi,c-2 2(c),55.0,77.0,17537,5.0,38.0,5.0,55860.0,,,2,c,2
37853,34425,35217,ALMR_roi,ADER_roi,c-3 3(c),53.0,48.0,14257,15.0,50.0,5.0,52040.0,,,3,c,3
37853,34425,34422,ALMR_roi,UNK_rvg_roi,c-3 3(c),53.0,48.0,14257,15.0,50.0,5.0,52040.0,,,3,c,3
37855,34437,35377,ALML_roi,ADEL_roi,c-3 4(c),35.0,43.0,14253,41.0,6.0,5.0,52020.0,,,4,c,3
37857,35293,35485,RICL_roi,URXL_roi,c-3 4(c),47.0,55.0,14265,5.0,19.0,5.0,52100.0,,,4,c,3
37857,35293,35381,RICL_roi,ADAL_roi,c-3 4(c),47.0,55.0,14265,5.0,19.0,5.0,52100.0,,,4,c,3
37859,35421,35461,OLQDL_roi,IL1DL_roi,c-3 3(c),46.0,36.0,14265,37.0,5.0,5.0,52100.0,,,3,c,3
37859,35421,35451,OLQDL_roi,IL2DL_roi,c-3 3(c),46.0,36.0,14265,37.0,5.0,5.0,52100.0,,,3,c,3
37861,35381,35577,ADAL_roi,AVAL_roi,c-3 4(c),56.0,56.0,14302,64.0,39.0,5.0,52340.0,,,4,c,3
37861,35381,35347,ADAL_roi,AVBR_roi,c-3 4(c),56.0,56.0,14302,64.0,39.0,5.0,52340.0,,,4,c,3
37863,35483,35690,AFDL_roi,SIBDL_roi,c-2 2(c),42.0,34.0,14341,5.0,5.0,5.0,52600.0,,,2,c,2
37865,34024,38050,PVNL_roi,PVQL_roi,c-2 3(c),78.0,44.0,14337,41.0,21.0,5.0,52580.0,,,3,c,2
37865,34024,35605,PVNL_roi,AIBL_roi,c-2 3(c),78.0,44.0,14337,41.0,21.0,5.0,52580.0,,,3,c,2
37867,38050,35649,PVQL_roi,ASJL_roi,c-3 4(c),48.0,55.0,14341,40.0,5.0,5.0,52600.0,,,4,c,3
37867,38050,35655,PVQL_roi,ALA_roi,c-3 4(c),48.0,55.0,14341,40.0,5.0,5.0,52600.0,,,4,c,3
37869,35223,35605,AIMR_roi,AIBL_roi,c-2 3(c),46.0,26.0,14346,5.0,5.0,5.0,52640.0,,,3,c,2
37871,35163,33994,AVFL_roi,PVNR_roi,c-3 2(c),58.0,50.0,14319,5.0,5.0,5.0,52460.0,,,2,c,3
37871,35163,33994,AVFL_roi,PVNR_roi,c-3 2(c),58.0,50.0,14319,5.0,5.0,5.0,52460.0,,,2,c,3
37873,35649,38050,ASJL_roi,PVQL_roi,c-2 3(c),69.0,65.0,14329,44.0,32.0,5.0,52520.0,,,3,c,2
37873,35649,34401,ASJL_roi,AVFR_roi,c-2 3(c),69.0,65.0,14329,44.0,32.0,5.0,52520.0,,,3,c,2
37875,34321,38050,L VNC NR crossing over no nuc_roi,PVQL_roi,c-1 1(c),37.0,17.0,14357,59.0,14.0,5.0,52700.0,,,1,c,1
37877,35649,34401,ASJL_roi,AVFR_roi,c-1 2(c),49.0,41.0,17187,5.0,5.0,5.0,52900.0,,,2,c,1
37877,35649,38050,ASJL_roi,PVQL_roi,c-1 2(c),49.0,41.0,17187,5.0,5.0,5.0,52900.0,,,2,c,1
37879,35491,35309,ADLR_roi,ASIL_roi,c-2 3(c),64.0,76.0,17201,39.0,34.0,5.0,53040.0,,,3,c,2
37879,35491,34321,ADLR_roi,L VNC NR crossing over no nuc_roi,c-2 3(c),64.0,76.0,17201,39.0,34.0,5.0,53040.0,,,3,c,2
37881,35329,35585,ASJR_roi,ALA_roi,c-2 3(c),24.0,69.0,17211,5.0,5.0,5.0,53140.0,,,3,c,2
37883,34027,35541,SAAVR,ALNR_roi,c-2 2(c),44.0,39.0,17201,19.0,5.0,5.0,53040.0,,,2,c,2
37883,34027,35235,SAAVR,SMBDL_roi,c-2 2(c),44.0,39.0,17201,19.0,5.0,5.0,53040.0,,,2,c,2
37885,34425,35690,ALMR_roi,SIBDL_roi,c-3 4(c),45.0,44.0,17219,46.0,5.0,5.0,53220.0,,,4,c,3
37885,34425,33970,ALMR_roi,AINR_roi,c-3 4(c),45.0,44.0,17219,46.0,5.0,5.0,53220.0,,,4,c,3
37887,34024,35565,PVNL_roi,AIAR_roi,c-3 4(c),66.0,90.0,17219,59.0,43.0,5.0,53220.0,,,4,c,3
37887,34024,35323,PVNL_roi,ASKR_roi,c-3 4(c),66.0,90.0,17219,59.0,43.0,5.0,53220.0,,,4,c,3
37887,34024,35329,PVNL_roi,ASJR_roi,c-3 4(c),66.0,90.0,17219,59.0,43.0,5.0,53220.0,,,4,c,3
37889,35491,33738,ADLR_roi,AIBR_roi,c-2 2(c),51.0,25.0,17213,5.0,18.0,5.0,53160.0,,,2,c,2
37891,35605,33976,AIBL_roi,RIMR_roi,c-3 4(c),64.0,49.0,17221,5.0,5.0,5.0,53240.0,,,4,c,3
37891,35605,35239,AIBL_roi,SMDDR_roi,c-3 4(c),64.0,49.0,17221,5.0,5.0,5.0,53240.0,,,4,c,3
37893,35683,35579,SAAVR_roi,AVAR_roi,c-4 4(c),56.0,23.0,17227,5.0,23.0,5.0,53300.0,,,4,c,4
37895,34289,35597,RIAR_roi,SMDDL_roi,c-2 3(c),30.0,45.0,17225,58.0,6.0,5.0,53280.0,,,3,c,2
37897,34304,35255,SMDVR_roi,RMDDL_roi,c-3 3(c),49.0,51.0,17195,5.0,43.0,5.0,52980.0,,,3,c,3
37897,34304,35597,SMDVR_roi,SMDDL_roi,c-3 3(c),49.0,51.0,17195,5.0,43.0,5.0,52980.0,,,3,c,3
37899,35669,33738,RIML_roi,AIBR_roi,c-4 5(c),63.0,45.0,17195,52.0,27.0,5.0,52980.0,,,5,c,4
37899,35669,35597,RIML_roi,SMDDL_roi,c-4 5(c),63.0,45.0,17195,52.0,27.0,5.0,52980.0,,,5,c,4
37901,35301,35509,AWBL_roi,RIAL_roi,c-2 2(c),48.0,76.0,17195,5.0,5.0,5.0,52980.0,,,2,c,2
37901,35301,33757,AWBL_roi,RIR_roi,c-2 2(c),48.0,76.0,17195,5.0,5.0,5.0,52980.0,,,2,c,2
37903,35405,35509,BAGR_roi,RIAL_roi,c-2 3(4),57.0,74.0,17213,55.0,39.0,5.0,53160.0,,,3,c,2
37903,35405,35667,BAGR_roi,RIBL_roi,c-2 3(4),57.0,74.0,17213,55.0,39.0,5.0,53160.0,,,3,c,2
37905,35159,35295,RIFL_roi,AVBL_roi,c-2 3(c),60.0,16.0,17215,5.0,37.0,5.0,53180.0,,,3,c,2
37907,35509,35597,RIAL_roi,SMDDL_roi,c-3 3(c),60.0,73.0,17227,5.0,5.0,5.0,53300.0,,,3,c,3
37907,35509,34289,RIAL_roi,RIAR_roi,c-3 3(c),60.0,73.0,17227,5.0,5.0,5.0,53300.0,,,3,c,3
37907,35509,35255,RIAL_roi,RMDDL_roi,c-3 3(c),60.0,73.0,17227,5.0,5.0,5.0,53300.0,,,3,c,3
37909,35329,35163,ASJR_roi,AVFL_roi,c-2 3(c),41.0,62.0,17247,5.0,59.0,5.0,53500.0,,,3,c,2
37909,35329,35207,ASJR_roi,PVQR_roi,c-2 3(c),41.0,62.0,17247,5.0,59.0,5.0,53500.0,,,3,c,2
