Source,Target,Synapse_Type,count,sum
ADAL,FLPL,c,1,1.0
ADAL_roi,ADEL_roi,c,1,2.0
ADAL_roi,ADFR_roi,c,1,1.0
ADAL_roi,AIBL_roi,c,1,1.0
ADAL_roi,AIBR_roi,c,1,1.0
ADAL_roi,AVAL_roi,C,1,1.0
ADAL_roi,AVAL_roi,c,3,4.0
ADAL_roi,AVAR_roi,c,2,6.0
ADAL_roi,AVBL_roi,c,2,6.0
ADAL_roi,AVBR_roi,c,1,4.0
ADAL_roi,AVDR_roi,c,9,18.0
ADAL_roi,AVJR_roi,c,5,12.0
ADAL_roi,AVKR_roi,c,1,2.0
ADAL_roi,DVA_roi,c,2,3.0
ADAL_roi,IL2L_roi,e,1,11.0
ADAL_roi,OLQVL_roi,c,1,4.0
ADAL_roi,PVQL_roi,c,1,1.0
ADAL_roi,PVR_roi,c,2,2.0
ADAL_roi,RIAL_roi,c,1,5.0
ADAL_roi,RIBL_roi,c,1,1.0
ADAL_roi,RICR_roi,c,4,5.0
ADAL_roi,RIH,c,1,2.0
ADAL_roi,RIML_roi,c,2,9.0
ADAL_roi,RMGL_roi,c,1,1.0
ADAL_roi,SIBDR_roi,C,1,1.0
ADAL_roi,URYDL_roi,c,1,1.0
ADAR_roi,AIBL_roi,c,2,4.0
ADAR_roi,AIZR_roi,c,2,3.0
ADAR_roi,ALMR_roi,c,2,3.0
ADAR_roi,ALNR_roi,c,2,7.0
ADAR_roi,AVAL_roi,c,2,3.0
ADAR_roi,AVAR_roi,c,2,6.0
ADAR_roi,AVBL_roi,c,2,6.0
ADAR_roi,AVBR_roi,c,2,2.0
ADAR_roi,AVDL_roi,c,5,13.0
ADAR_roi,AVEL_roi,c,1,10.0
ADAR_roi,AVER_roi,c,8,18.0
ADAR_roi,AVJL_roi,c,3,8.0
ADAR_roi,DVA_roi,c,3,4.0
ADAR_roi,IL2R_roi,e,1,15.0
ADAR_roi,OLQVR_roi,c,2,5.0
ADAR_roi,RIAR_roi,c,1,10.0
ADAR_roi,RIBR_roi,c,1,1.0
ADAR_roi,RICR_roi,c,1,1.0
ADAR_roi,RIMR_roi,c,2,6.0
ADAR_roi,SDQR_roi,c,1,1.0
ADAR_roi,SIBDL_roi,c,1,1.0
ADAR_roi,SIBVR_roi,c,1,2.0
ADAR_roi,SMDVR_roi,c,1,5.0
ADAR_roi,URYVR_roi,c,1,1.0
ADEL,ADAL,c,4,13.0
ADEL,AVKR,c,1,1.0
ADEL,BDUL,c,1,1.0
ADEL,FLPL,c,1,2.0
ADEL,RMGL,c,4,9.0
ADEL_roi,ADAL_roi,c,3,6.0
ADEL_roi,AQR_roi,c,1,3.0
ADEL_roi,AVAL_roi,c,2,6.0
ADEL_roi,AVAR_roi,c,1,1.0
ADEL_roi,AVDR_roi,c,1,1.0
ADEL_roi,DVC_roi,c,1,3.0
ADEL_roi,PVPL_roi,c,2,4.0
ADEL_roi,RIGL_roi,c,6,31.0
ADEL_roi,RMGL_roi,c,2,4.0
ADEL_roi,RMHL,c,1,2.0
ADEL_roi,SIADL_roi,c,2,23.0
ADER,ADAR,c,1,3.0
ADER,BDUR,c,1,2.0
ADER,PVR,c,1,2.0
ADER,RMGR,c,1,3.0
ADER_roi,AQR_roi,c,1,8.0
ADER_roi,AVAL_roi,c,1,5.0
ADER_roi,AVAR_roi,c,3,5.0
ADER_roi,DVC_roi,c,1,5.0
ADER_roi,RIFR_roi,c,2,4.0
ADER_roi,RIGL_roi,c,9,16.0
ADER_roi,RIGL_roi,e,1,9.0
ADER_roi,RIGR_roi,c,2,9.0
ADER_roi,RIH,c,1,5.0
ADER_roi,RIML_roi,c,1,2.0
ADER_roi,RIMR_roi,c,2,4.0
ADER_roi,SMBDR_roi,c,1,1.0
ADER_roi,UNK_rvg_roi,c,3,4.0
ADER_roi,unk 2_roi,c,1,1.0
ADFL_roi,ADFR_roi,e,1,4.0
ADFL_roi,AINR_roi,c,1,1.0
ADFL_roi,AIYL_roi,c,2,4.0
ADFL_roi,AIYL_roi,e,1,4.0
ADFL_roi,AIZL_roi,c,13,37.0
ADFL_roi,ASEL_roi,e,1,2.0
ADFL_roi,AUAL_roi,c,5,6.0
ADFL_roi,AVJL_roi,e,1,1.0
ADFL_roi,AWBL_roi,c,2,2.0
ADFL_roi,PVNL_roi,c,1,2.0
ADFL_roi,RIAL_roi,c,20,70.0
ADFL_roi,RIH_roi,c,1,2.0
ADFL_roi,RIPL_roi,c,5,26.0
ADFL_roi,RIR_roi,c,2,2.0
ADFL_roi,SMBDL_roi,c,1,5.0
ADFL_roi,SMBVL_roi,c,2,3.0
ADFL_roi,URXL_roi,c,4,9.0
ADFR,ADLR,e,1,20.0
ADFR_roi,ADAR_roi,c,1,1.0
ADFR_roi,AIYR_roi,e,1,3.0
ADFR_roi,AIZR_roi,c,10,33.0
ADFR_roi,AUAR_roi,c,7,12.0
ADFR_roi,AWAR_roi,c,1,1.0
ADFR_roi,AWBL_roi,c,1,2.0
ADFR_roi,AWBR_roi,c,3,3.0
ADFR_roi,RIAR_roi,c,16,45.0
ADFR_roi,RIAR_roi,e,1,2.0
ADFR_roi,RIBR_roi,c,2,4.0
ADFR_roi,RIPR_roi,c,4,14.0
ADFR_roi,RIR_roi,c,1,5.0
ADFR_roi,SIBDR_roi,e,1,1.0
ADFR_roi,SMBDR_roi,c,1,5.0
ADFR_roi,SMBVR_roi,c,7,18.0
ADFR_roi,URXR_roi,c,1,2.0
ADLL_roi,ADAL_roi,e,1,6.0
ADLL_roi,ADLL_roi,c,2,3.0
ADLL_roi,ADLR_roi,e,1,5.0
ADLL_roi,AIAL_roi,c,3,4.0
ADLL_roi,AIBL_roi,c,28,62.0
ADLL_roi,AIMR_roi,c,3,7.0
ADLL_roi,ALA_roi,c,1,2.0
ADLL_roi,ASEL_roi,c,6,20.0
ADLL_roi,ASEL_roi,e,1,1.0
ADLL_roi,ASGL_roi,c,1,2.0
ADLL_roi,ASHL_roi,c,3,4.0
ADLL_roi,ASIL_roi,c,4,7.0
ADLL_roi,ASKL_roi,c,6,14.0
ADLL_roi,AVEL_roi,c,3,5.0
ADLL_roi,AWCL_roi,c,2,4.0
ADLL_roi,CSSCDL,c,3,6.0
ADLL_roi,HSNL_roi,c,7,11.0
ADLL_roi,IL1DL_roi,c,1,1.0
ADLL_roi,IL2DL_roi,c,2,2.0
