source,target,weight
ADAL,AIAL,2
ADAL,AIBL,2
ADAL,AIBR,1
ADAL,AVAL,1
ADAL,AVBL,7
ADAL,AVBR,7
ADAL,AVER,3
ADAL,AVJR,2
ADAL,DVA,2
ADAL,RICR,2
ADAL,RIML,7
ADAL,RIPL,5
ADAL,URXL,1
ADAR,ADER,1
ADAR,AIBL,2
ADAR,AIBR,1
ADAR,AVAL,1
ADAR,AVAR,1
ADAR,AVBL,2
ADAR,AVBR,12
ADAR,AVDL,1
ADAR,AVER,1
ADAR,AVJL,8
ADAR,DVA,1
ADAR,RICL,1
ADAR,RIFR,1
ADAR,RIMR,6
ADAR,RIPR,3
ADAR,RMFR,1
ADAR,SAADR,1
ADAR,SMDVL,1
ADAR,URXR,1
ADEL,ADAL,1
ADEL,ADEL,1
ADEL,ADER,6
ADEL,ALML,1
ADEL,ALNL,2
ADEL,AQR,2
ADEL,ASJL,1
ADEL,AVAR,2
ADEL,AVKL,2
ADEL,AVKR,1
ADEL,BDUL,1
ADEL,CEPDL,2
ADEL,CEPshDL,2
ADEL,IL1L,5
ADEL,IL2L,1
ADEL,OLLL,4
ADEL,RIGL,6
ADEL,RIGR,9
ADEL,RIH,1
ADEL,RIVR,1
ADEL,RMDL,4
ADEL,RMDR,1
ADEL,RMER,1
ADEL,RMFR,1
ADEL,SAADR,1
ADEL,SAAVL,1
ADEL,SIBVR,2
ADEL,SMBDR,2
ADER,ADAR,1
ADER,ADEL,2
ADER,AQR,1
ADER,AVAL,7
ADER,AVAR,3
ADER,AVBR,1
ADER,AVER,1
ADER,AVKL,2
ADER,BWM-DR04,2
ADER,CEPDR,1
ADER,CEPshDR,2
ADER,CEPVR,2
ADER,DVA,1
ADER,DVC,2
ADER,FLPL,1
ADER,IL1R,3
ADER,IL2R,2
ADER,OLLR,2
ADER,PVNR,1
ADER,PVPL,1
ADER,RIGL,10
ADER,RIGR,9
ADER,RIH,2
ADER,RIVL,3
ADER,RIVR,2
ADER,RMDL,1
ADER,RMDR,2
ADER,RMFL,4
ADER,RMFR,2
ADER,RMGR,1
ADER,RMHL,2
ADER,SAADL,1
ADER,SMBVR,1
ADER,URBR,1
ADFL,ADAL,1
ADFL,AIBL,1
ADFL,AIZL,6
ADFL,AIZR,2
ADFL,ASER,2
ADFL,AUAL,4
ADFL,AVHR,1
ADFL,AWBL,2
ADFL,OLQVL,1
ADFL,PVQL,1
ADFL,RIAL,15
ADFL,RICR,1
ADFL,RIGL,4
ADFL,RIGR,1
ADFL,RIR,3
ADFL,SIBVL,1
ADFL,SMBDL,1
ADFL,SMBVL,5
ADFL,URXL,1
ADFL,URYVL,1
ADFR,AIZL,2
ADFR,AIZR,9
ADFR,ASGR,1
ADFR,AUAR,9
ADFR,AVHL,1
ADFR,RIAR,20
ADFR,RIGR,4
ADFR,RIR,3
ADFR,SMBVR,7
ADFR,URXL,1
ADFR,URXR,2
ADLL,AIAL,5
ADLL,AIBL,13
ADLL,ASEL,5
ADLL,ASHL,6
ADLL,ASKL,2
ADLL,AVAL,2
ADLL,AVDL,2
ADLL,AVDR,10
ADLL,AVEL,1
ADLL,AVJL,1
ADLL,AVJR,5
ADLL,AWBL,1
ADLL,AWCL,4
ADLL,HSNL,1
ADLL,HSNR,1
ADLL,PVNL,1
ADLL,PVQL,2
ADLL,SIBDR,1
ADLL,SMBVL,1
ADLR,AIAR,9
ADLR,AIBR,11
ADLR,ASER,5
ADLR,ASHR,5
ADLR,AVAR,8
ADLR,AVBR,2
ADLR,AVDR,2
ADLR,AVER,1
ADLR,AVJL,1
ADLR,AVJR,1
ADLR,AWCR,4
ADLR,CEPshVR,1
ADLR,PVPR,1
ADLR,SIBDL,1
ADLR,SMBVR,5
AFDL,AIYL,12
AFDL,AIYR,1
AFDL,ASER,1
AFDR,AIYR,14
AFDR,ASEL,1
AIAL,ADAL,2
AIAL,ADLL,1
AIAL,AIBL,14
AIAL,ASEL,1
AIAL,ASER,1
AIAL,ASGL,1
AIAL,ASIL,2
AIAL,ASKL,2
AIAL,AWAL,1
AIAL,AWCL,7
AIAR,ADAR,2
AIAR,ADLR,1
AIAR,AIBR,11
AIAR,ASGR,1
AIAR,ASHR,1
AIAR,ASKR,3
AIAR,AWCL,6
AIAR,HSNL,2
AIAR,RIFL,2
AIAR,RIFR,1
AIBL,ADAR,1
AIBL,AUAR,1
AIBL,AVAL,6
AIBL,AVAR,1
AIBL,AVBL,9
AIBL,AVEL,1
AIBL,RIBL,1
AIBL,RIBR,6
AIBL,RIGR,1
AIBL,RIML,1
AIBL,RIMR,26
AIBL,SAADL,3
AIBL,SAADR,1
AIBL,SMDDR,4
AIBL,SMDVR,9
AIBR,ADAL,1
AIBR,AQR,1
AIBR,AVAR,2
AIBR,AVBR,8
AIBR,AVER,1
AIBR,BAGR,1
AIBR,DVA,2
AIBR,DVC,1
AIBR,RIAL,1
AIBR,RIBL,8
AIBR,RIML,24
AIBR,RIMR,2
AIBR,RIVR,1
AIBR,RMFL,2
AIBR,SAADL,3
AIBR,SAADR,1
AIBR,SAAVR,2
AIBR,SIADL,1
AIBR,SIBVR,1
AIBR,SMDDL,2
AIBR,SMDVL,9
AIML,ADAL,1
AIML,AIAL,8
AIML,AIMR,1
AIML,ALML,1
AIML,ASGL,7
AIML,ASHL,3
AIML,ASJL,1
AIML,ASKL,4
AIML,AVAL,1
AIML,AVBL,3
AIML,AVFL,4
AIML,AVFR,3
AIML,AWBL,2
AIML,CEPshDR,1
AIML,CEPshVL,3
AIML,CEPVL,1
AIML,HSNL,2
AIML,PVNL,1
AIML,RID,2
AIML,SDQL,1
AIML,SIADR,1
AIML,SMBDR,1
AIML,SMBVL,1
AIMR,AIAR,7
AIMR,AIMR,1
AIMR,AIYR,1
AIMR,AIZR,1
AIMR,ASGR,6
AIMR,ASHR,1
AIMR,ASKR,2
AIMR,AVDR,2
AIMR,AVFL,1
AIMR,AVFR,2
AIMR,AVJR,1
AIMR,CEPshDR,1
AIMR,CEPshVR,1
AIMR,HSNL,1
AIMR,PVNL,1
AIMR,RICR,1
AIMR,RIFL,2
AIMR,RMGR,1
AIMR,URXR,1
AINL,AFDL,2
AINL,AFDR,7
AINL,AIBL,1
AINL,AIBR,1
AINL,ASEL,1
AINL,AUAR,1
AINL,BAGL,9
AINL,CEPshVL,1
AINL,CEPshVR,6
AINL,CEPVR,1
AINL,RIAR,1
AINL,RIBL,1
AINL,RIBR,4
AINL,RIMR,3
AINL,URXR,1
AINR,AFDL,7
AINR,AIBR,2
AINR,ASER,2
AINR,AUAL,5
AINR,AUAR,1
AINR,AWCR,1
AINR,BAGR,10
AINR,CEPshVL,3
AINR,CEPshVR,1
AINR,CEPVL,2
AINR,RIBL,8
AINR,RIBR,2
AINR,RID,1
AINR,RIML,1
AIYL,AFDL,1
AIYL,AIZL,10
AIYL,AIZR,1
AIYL,RIAL,6
AIYL,RIBL,4
AIYR,ADFR,2
AIYR,AFDR,1
AIYR,AIBR,1
AIYR,AIYL,1
AIYR,AIZR,15
AIYR,ASER,4
AIYR,AWAR,1
AIYR,AWCL,1
AIYR,BAGL,1
AIYR,RIAR,5
AIYR,RIBR,8
AIYR,RIR,1
AIZL,ADFL,1
AIZL,AIAL,5
AIZL,AIBL,3
AIZL,AIBR,23
AIZL,ASEL,2
AIZL,AVEL,5
AIZL,AVER,10
AIZL,AWAL,2
AIZL,AWBL,1
AIZL,BAGR,1
AIZL,RIAL,12
AIZL,RIML,12
AIZL,SMBDL,11
AIZL,SMBVL,13
AIZL,URYDL,1
AIZR,AFDR,1
AIZR,AIAR,5
AIZR,AIBL,18
AIZR,AIBR,2
AIZR,ASER,1
AIZR,AVEL,7
AIZR,AVER,2
AIZR,AWCL,3
AIZR,BAGL,1
AIZR,DVA,1
AIZR,RIAL,1
AIZR,RIAR,11
AIZR,RIMR,12
AIZR,SMBDL,1
AIZR,SMBDR,16
AIZR,SMBVR,15
ALA,ADLL,1
ALA,AVEL,3
ALA,AVER,4
ALA,BDUL,1
ALA,CEPshVL,1
ALA,CEPshVR,1
ALA,PVNL,1
ALML,BDUL,10
ALML,CEPDL,1
ALML,CEPVL,5
ALML,PVCL,5
ALML,PVNL,1
ALML,PVNR,1
ALML,PVR,1
ALML,RMDDR,1
ALML,SMBDR,1
ALMR,ALNR,1
ALMR,AVBR,1
ALMR,AVDL,1
ALMR,BDUR,6
ALMR,CEPDR,4
